city,district,street,place,location,remark,source,link,is_today,title,text,province
楚雄彝族自治州,楚雄市,,彝人古镇金龙酒店,"101.518467,25.057317",,春城晚报,https://mp.weixin.qq.com/s/1MOGBR6c5MQ2mzw00JRKfw,0,,,云南省
红河哈尼族彝族自治州,元阳县,,新街镇,"102.746171,23.153469",,红河日报,https://mp.weixin.qq.com/s/TM7oIfKGO_Ga_d2KA68Hdg,0,,,云南省
红河哈尼族彝族自治州,元阳县,,元阳胜村梯田景区,"102.745544,23.100755",,红河日报,https://mp.weixin.qq.com/s/TM7oIfKGO_Ga_d2KA68Hdg,0,,,云南省
红河哈尼族彝族自治州,红河县,,红河县,,,红河日报,https://mp.weixin.qq.com/s/TM7oIfKGO_Ga_d2KA68Hdg,0,,,云南省
红河哈尼族彝族自治州,蒙自市,,蒙自市,,,红河日报,https://mp.weixin.qq.com/s/595Lg0yr1eqHRjh_cNXwkw,0,,,云南省
红河哈尼族彝族自治州,河口瑶族自治县,,河口瑶族自治县,,,红河日报,https://mp.weixin.qq.com/s/595Lg0yr1eqHRjh_cNXwkw,0,,,云南省
红河哈尼族彝族自治州,个旧市,,个旧市,,,云南卫健委,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158147060382734153,0,,,云南省
红河哈尼族彝族自治州,建水县,,李浩寨沙冲村,"102.853961,23.846796",,建水县人民政府,http://www.ynjs.hh.gov.cn/xwzx_2086/gggs/202002/t20200203_389321.html,0,,,云南省
迪庆藏族自治州,香格里拉市,,香格里拉绿洲酒店,"99.716401,27.833192",,春城晚报,https://mp.weixin.qq.com/s/yeVV1XLyzMN5nPIEa0FNNw,0,,,云南省
迪庆藏族自治州,香格里拉市,,迪庆州普达措国家公园,"99.908318,27.902122",,春城晚报,https://mp.weixin.qq.com/s/yeVV1XLyzMN5nPIEa0FNNw,0,,,云南省
保山,腾冲市,,和顺景区,"98.45903,25.006608",,腾冲新闻网,https://baijiahao.baidu.com/s?id=1657891587715732762,0,,,云南省
保山,腾冲市,,洞山温泉村,"98.535182,24.955778",,腾冲新闻网,https://baijiahao.baidu.com/s?id=1657891587715732762,0,,,云南省
保山,腾冲市,,滇西抗战纪念馆,"98.4821,25.02615",,春城晚报,https://mp.weixin.qq.com/s/zjApBnAZQW7IQ7As_d1tGQ,0,,,云南省
保山,腾冲市,,热海景区（清水乡刘家寨）,"98.440595,24.94678",,春城晚报,https://mp.weixin.qq.com/s/zjApBnAZQW7IQ7As_d1tGQ,0,,,云南省
保山,腾冲市,,来凤山国家森林公园,"98.486687,25.015395",,春城晚报,https://mp.weixin.qq.com/s/zjApBnAZQW7IQ7As_d1tGQ,0,,,云南省
保山,腾冲市,,滇滩镇云峰山温泉酒店,"98.444872,25.391775",,春城晚报,https://mp.weixin.qq.com/s/zjApBnAZQW7IQ7As_d1tGQ,0,,,云南省
保山,腾冲市,,绮罗茶园,"98.487585,25.00188",,春城晚报,https://mp.weixin.qq.com/s/zjApBnAZQW7IQ7As_d1tGQ,0,,,云南省
保山,腾冲市,,北海湿地景区,"98.558474,25.120053",,春城晚报,https://mp.weixin.qq.com/s/zjApBnAZQW7IQ7As_d1tGQ,0,,,云南省
保山,隆阳区,,隆阳区,,,保山日报,https://weibo.com/5289488345/ItG3n6mSB?type=comment,0,,,云南省
保山,龙陵县,,龙陵县,,,保山日报,https://weibo.com/5289488345/ItG3n6mSB?type=comment,0,,,云南省
普洱,思茅区,,思茅区,,,云南卫健委,http://www.yncdc.cn/newsview.aspx?id=124150,0,,,云南省
丽江,宁蒗彝族自治县,,黎昕农庄,"100.889105,27.376823",,春城晚报,https://mp.weixin.qq.com/s/yeVV1XLyzMN5nPIEa0FNNw,0,,,云南省
