city,district,street,place,location,remark,source,link,is_today,title,text,province
通辽,霍林郭勒莫斯台街道,,友谊路亿达抻面馆,"119.662154,45.535086",,内蒙古卫健委,http://wjw.nmg.gov.cn/doc/2020/02/09/291226.shtml,0,,,内蒙古
通辽,霍林郭勒莫斯台街道,,锡林大街天都火锅城,"119.660859,45.533714",,内蒙古卫健委,http://wjw.nmg.gov.cn/doc/2020/02/09/291226.shtml,0,,,内蒙古
通辽,霍林郭勒宝日呼吉尔街道,,金亚辰水世界,"119.667368,45.533809",,内蒙古卫健委,http://wjw.nmg.gov.cn/doc/2020/02/09/291226.shtml,0,,,内蒙古
通辽,霍林郭勒珠斯花街道,,豪林国际小区双利超市,"119.651199,45.541567",,内蒙古卫健委,http://wjw.nmg.gov.cn/doc/2020/02/09/291226.shtml,0,,,内蒙古
锡林郭勒盟,锡林浩特市,,德克隆贝子庙超市,"116.073295,43.950534",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
乌海,海勃湾区,,万联生鲜超市,"106.820947,39.669844",,乌海新闻,https://mp.weixin.qq.com/s/eECI1S8obg-Vx11xTjggoA,0,,,内蒙古
巴彦淖尔,临河区,,白脑包镇联丰村五组,"107.285229,40.994026",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
巴彦淖尔,临河区,,大兰庙桥北治安村二组路口康中福大药店,"107.411368,40.793148",,巴彦淖尔日报,https://mp.weixin.qq.com/s/yT_I4r6Sc2K3O7-3iAl-mA,0,,,内蒙古
巴彦淖尔,临河区,,曙光乡治安村三组,"107.43131,40.813129",,巴彦淖尔日报,https://mp.weixin.qq.com/s/yT_I4r6Sc2K3O7-3iAl-mA,0,,,内蒙古
巴彦淖尔,临河区,,王学武胃肠科医院,"107.414808,40.775481",,巴彦淖尔日报,https://mp.weixin.qq.com/s/yT_I4r6Sc2K3O7-3iAl-mA,0,,,内蒙古
巴彦淖尔,临河区,,富源商场,"107.402041,40.771541",,巴彦淖尔日报,https://mp.weixin.qq.com/s/yT_I4r6Sc2K3O7-3iAl-mA,0,,,内蒙古
巴彦淖尔,临河区,,临河大厦,"107.41485,40.760089",,巴彦淖尔日报,https://mp.weixin.qq.com/s/yT_I4r6Sc2K3O7-3iAl-mA,0,,,内蒙古
巴彦淖尔,临河区,,临河西批发菜市场,"107.355845,40.772787",,巴彦淖尔日报,https://mp.weixin.qq.com/s/yT_I4r6Sc2K3O7-3iAl-mA,0,,,内蒙古
巴彦淖尔,五原县,,银定图医院,"107.742477,41.146878",,巴彦淖尔日报,https://mp.weixin.qq.com/s/yT_I4r6Sc2K3O7-3iAl-mA,1,,,内蒙古
巴彦淖尔,五原县,,时代宾馆,"108.275584,41.09355",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
巴彦淖尔,五原县,,王富友水果超市,"108.26287,41.084419",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
巴彦淖尔,五原县,,时代宾馆北侧小杨超市,"108.276298,41.10102",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,1,,,内蒙古
巴彦淖尔,乌拉特中旗,,乌拉特中旗乌加河镇宏丰村,"107.819991,41.257527",,巴彦淖尔日报,https://mp.weixin.qq.com/s/yT_I4r6Sc2K3O7-3iAl-mA,0,,,内蒙古
呼伦贝尔,莫旗,,双汇冷鲜肉,"124.505365,48.476255",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
呼伦贝尔,莫旗,,市场东门百果缘水果店,"124.508515,48.47674",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
呼伦贝尔,莫旗,,讷河韩都烧烤,,,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,陶瓷广场地下商场,"110.035322,40.394303",,内蒙古卫健委,http://wjw.nmg.gov.cn/doc/2020/02/02/286191.shtml,0,,,内蒙古
鄂尔多斯,达拉特旗,,中和西镇南伙房村,"110.003235,40.447362",,内蒙古卫健委,http://wjw.nmg.gov.cn/doc/2020/02/02/286191.shtml,0,,,内蒙古
鄂尔多斯,达拉特旗,,东源新村,"110.035536,40.425448",,内蒙古卫健委,http://wjw.nmg.gov.cn/doc/2020/02/02/286191.shtml,0,,,内蒙古
鄂尔多斯,达拉特旗,,全年红灯笼批发（旧市场路东）,"110.034685,40.409262",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,北国购物广场,"110.014413,40.396452",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,耳字壕河洛图白家梁,"109.960598,40.020992",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,耳字壕万家鸿综合超市,"110.019107,39.996838",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,树林召书香名邸小区,"110.037868,40.406396",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,贵族鞋城,"110.020153,40.39643",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,潮丝街,"109.98735,39.818932",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,电厂十字路口“供销石化加油站”,"110.003372,40.348128",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,恩格贝镇蓿亥图村牛场梁社,"110.874089,40.234214",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,刘六烟花爆竹批发（旧市场路东北边土产）,"110.034764,40.409411",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,东源新村便民市场客多多超市,"109.994579,40.404771",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,东源新村便民市场雲强洗车行,"110.035536,40.425448",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,京顺大药房益春堂店,"110.032446,40.424406",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,京顺大药店志兴堂店（交警队附近）,"110.02989,40.394345",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,锦瑞大药房靖康店（蓝宝酒店北）,"110.01134,40.411839",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
鄂尔多斯,达拉特旗,,京顺大药店许氏店（天力小区附近）,"110.019678,40.412511",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,内蒙古
