city,district,street,place,location,remark,source,link,is_today,title,text,province
白山,抚松县,,松江河镇万豪温泉宾馆,"127.480079,42.167868",,抚松发布,https://mp.weixin.qq.com/s/gb33Pz92gZiVFRe1hy0YyQ,0,,,吉林省
白城,镇赉县,,翰林学府,"123.218751,45.847472",,吉林卫生健康 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200208_6828726.html,0,,,吉林省
通化,梅河口市,,中和镇兰堡村,"125.536295,42.371292",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200209_6829137.html,0,,,吉林省
通化,东昌区,,锦绣家园,"125.925742,41.72304",,吉林卫生健康 ,https://mp.weixin.qq.com/s/AR9o0zlUzl0MGbU54CfWzQ,0,,,吉林省
通化,东昌区,,宏康丽城东区,"125.979659,41.738296",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200209_6829137.html,0,,,吉林省
松原,乾安县,,乾安县,"124.041139,45.003774",,松原市卫健委,http://wsjkw.jlsy.gov.cn/xwzx/jgdt/202002/t20200202_360033.html,0,,,吉林省
延边朝鲜族自治州,敦化市,,黄泥河镇,"128.027141,43.558654",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200212_6836270.html,0,,,吉林省
延边朝鲜族自治州,龙井市,,富丽园,"129.428925,42.776078",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200207_6828199.html,0,,,吉林省
延边朝鲜族自治州,延吉市,,光明小区,"129.528543,42.912734",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200206_6827638.html,0,,,吉林省
辽源,龙山区,,九州新城,"125.114883,42.900802",,吉林省卫健委,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200208_6828726.html,0,,,吉林省
辽源,龙山区,,向阳街二委十三组柏林小镇,"125.142236,42.883491",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200206_6827638.html,0,,,吉林省
辽源,龙山区,,寿山镇东升村,"125.223784,42.923514",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200204_6674931.html,0,,,吉林省
辽源,东丰县,,臻典华庭小区,"125.520143,42.678071",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200202_6672623.html,0,,,吉林省
长春,绿园区,,长客花园,"125.290344,43.909588",,吉林卫生健康 ,https://mp.weixin.qq.com/s/AR9o0zlUzl0MGbU54CfWzQ,0,,,吉林省
长春,绿园区,,西城国际公馆,"125.268247,43.898363",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,0,,,吉林省
长春,南关区,,东岭南街百屹会馆,"125.348113,43.856543",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,0,,,吉林省
长春,南关区,,南湖大路天下晓酒店,"125.350822,43.851052",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,0,,,吉林省
长春,南关区,,东岭南街达顺小区,"125.352391,43.855818",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,0,,,吉林省
长春,经开区,,东方广场爱琴湾,"125.436153,43.886979",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200212_6836270.html,0,,,吉林省
长春,经开区,,首地首城,"125.412786,43.841238",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,1,,,吉林省
长春,宽城区,,居然之家太阳城店,"125.314242,43.907747",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200209_6829137.html,0,,,吉林省
长春,宽城区,,金都小镇,"125.288959,43.966373",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200209_6829137.html,0,,,吉林省
长春,宽城区,,北十条荣旺天下,"125.351003,43.917622",,吉林卫生健康 ,https://mp.weixin.qq.com/s/r_Vi9_HbC-fEx9iAOhJiHA,0,,,吉林省
长春,朝阳区,,崇智路694号,"125.315888,43.891882",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200203_6672974.html,0,,,吉林省
长春,九台区,,工商一条街铁路家属楼,"125.719048,44.530254",,吉林省卫健委 ,http://wsjkw.jl.gov.cn/xwzx/xwfb/202002/t20200206_6827634.html,1,,,吉林省
长春,九台区,,龙凤二期,"125.834296,44.156142",,吉林卫生健康 ,https://mp.weixin.qq.com/s/r_Vi9_HbC-fEx9iAOhJiHA,0,,,吉林省
长春,二道区,,天富北苑,"125.374448,43.907426",,吉林卫生健康 ,https://mp.weixin.qq.com/s/AR9o0zlUzl0MGbU54CfWzQ,0,,,吉林省
长春,二道区,,力旺康城小区一期,"125.372879,43.94122",,吉林卫生健康 ,https://mp.weixin.qq.com/s/r_Vi9_HbC-fEx9iAOhJiHA,0,,,吉林省
长春,高新区,,吉大南校家属楼,"125.278074,43.829935",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200209_6829137.html,0,,,吉林省
长春,高新区,,飞悦经典小区,"125.2411,43.833919",,吉林卫生健康 ,https://mp.weixin.qq.com/s/r_Vi9_HbC-fEx9iAOhJiHA,0,,,吉林省
长春,高新区,,北湾新城,"125.392563,43.967346",,吉林卫生健康 ,https://mp.weixin.qq.com/s/r_Vi9_HbC-fEx9iAOhJiHA,0,,,吉林省
长春,高新区,,恒大绿洲,"125.262619,43.773121",,吉林卫生健康 ,https://mp.weixin.qq.com/s/r_Vi9_HbC-fEx9iAOhJiHA,0,,,吉林省
长春,高新区,,中海兰庭小区,"125.258831,43.782701",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200201_6666993.html,0,,,吉林省
长春,净月区,,净月街道财苑家园,"125.446803,43.82925",,吉林卫生健康 ,https://mp.weixin.qq.com/s/r_Vi9_HbC-fEx9iAOhJiHA,0,,,吉林省
长春,净月区,,万科城,"125.387171,43.799311",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200202_6672623.html,0,,,吉林省
长春,净月区,,博学路东城国际花园小区,"125.412977,43.819326",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200201_6666993.html,0,,,吉林省
四平,公主岭市,,十屋镇双河村,"124.249511,43.820975",,吉林卫生健康 ,https://mp.weixin.qq.com/s/r_Vi9_HbC-fEx9iAOhJiHA,0,,,吉林省
四平,公主岭市,,秦家屯镇南平村5队,"124.662454,43.768763",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200204_6674931.html,0,,,吉林省
四平,公主岭市,,怀德镇三合堡村8组,"124.706166,43.814841",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200204_6674931.html,0,,,吉林省
四平,铁东区,,中华新城,"124.389327,43.16298",,吉林卫生健康 ,https://mp.weixin.qq.com/s/AR9o0zlUzl0MGbU54CfWzQ,0,,,吉林省
四平,双辽市,,那木斯乡合力村,"123.485788,43.575544",,吉林卫生健康 ,https://mp.weixin.qq.com/s/AR9o0zlUzl0MGbU54CfWzQ,0,,,吉林省
四平,双辽市,,辽南街道民瑞小区,"123.501022,43.505333",,吉林卫生健康 ,https://mp.weixin.qq.com/s/r_Vi9_HbC-fEx9iAOhJiHA,0,,,吉林省
四平,双辽市,,北兴小区,"123.51115,43.51773",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200204_6674931.html,0,,,吉林省
四平,铁西区,,站前综合楼,"124.367264,43.17237",,四平发布,https://mp.weixin.qq.com/s/xjZGu-rYlfr_57JUC-yv9g,0,,,吉林省
四平,铁西区,,星源世纪城,"124.340123,43.176696",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200209_6829137.html,0,,,吉林省
四平,铁西区,,地直购物中心双亿超市,"124.352427,43.177658",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200213_6836775.html,1,,,吉林省
四平,铁西区,,红嘴子开发区家属楼,"124.339054,43.218038",,吉林省卫健委 ,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200213_6836775.html,1,,,吉林省
四平,铁西区,,新华大街,"124.349276,43.159699",,四平发布,https://mp.weixin.qq.com/s/oGMG1xFfaJ3dnUs_gPHLzg,0,,,吉林省
四平,铁西区,,宏泰广场,"124.352249,43.168156",,四平发布,https://mp.weixin.qq.com/s/oGMG1xFfaJ3dnUs_gPHLzg,0,,,吉林省
四平,铁西区,,人防办小区,"124.354393,43.171192",,四平发布,https://mp.weixin.qq.com/s/oGMG1xFfaJ3dnUs_gPHLzg,0,,,吉林省
四平,铁西区,,阳光新城,"124.354444,43.164134",,四平发布,https://mp.weixin.qq.com/s/oGMG1xFfaJ3dnUs_gPHLzg,0,,,吉林省
