city,district,street,place,location,remark,source,link,is_today,title,text,province
凉山彝族自治州,盐源县,,走婚桥印象酒店,"100.871521,27.717328",,春城晚报,https://mp.weixin.qq.com/s/yeVV1XLyzMN5nPIEa0FNNw,0,,,四川省
凉山彝族自治州,盐源县,,泸沽湖景区,"100.811917,27.7085",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,盐源县,,树河镇石门坎村,"101.801565,27.296868",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,甘洛县,,阿尔乡乃巫村,"102.856373,28.746137",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,甘洛县,,新市坝镇拉尔村,"102.828096,29.026694",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,甘洛县,,德惠超市,"102.773808,28.970893",,川报观察,https://mp.weixin.qq.com/s/nWnv_8A0ZMXyS3dJ23lmjg,0,,,四川省
凉山彝族自治州,甘洛县,,甘洛县菜市,"102.776746,28.9719",,川报观察,https://mp.weixin.qq.com/s/nWnv_8A0ZMXyS3dJ23lmjg,0,,,四川省
凉山彝族自治州,甘洛县,,永泰药业连锁1分店,"102.773032,28.969505",,川报观察,https://mp.weixin.qq.com/s/nWnv_8A0ZMXyS3dJ23lmjg,0,,,四川省
凉山彝族自治州,西昌市,,凉山州人大三岔口小区,"102.280923,27.873989",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,西昌市,,岷山饭店,"102.250971,27.879239",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,西昌市,,经久乡经久村5组,"102.197513,27.751379",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,西昌市,,99长红饭店,"102.251584,27.871794",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,西昌市,,东城街道金地丽都小区,"102.260868,27.875969",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,西昌市,,泸山,"102.25019,27.821974",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,西昌市,,长安街道长安北路长安村9组兴景苑小区后门斜对面一处自建房,"102.23891,27.894025",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,西昌市,,名店街卡宾店,"102.26014,27.889736",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,西昌市,,长安菜市场水果门市,"102.239767,27.88844",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
凉山彝族自治州,西昌市,,惠俊宾馆310号房间,"102.229023,27.894268",,川报观察,https://mp.weixin.qq.com/s/b3YH-Ivf5eDKABuR5N-8Uw,0,,,四川省
凉山彝族自治州,西昌市,,西昌火车南站家属区,"102.216139,27.840292",,川报观察,https://mp.weixin.qq.com/s/b3YH-Ivf5eDKABuR5N-8Uw,0,,,四川省
凉山彝族自治州,西昌市,,马道达达超市购物,"102.215795,27.838639",,川报观察,https://mp.weixin.qq.com/s/b3YH-Ivf5eDKABuR5N-8Uw,0,,,四川省
凉山彝族自治州,西昌市,,成国宾馆,"102.21613,27.833619",,川报观察,https://mp.weixin.qq.com/s/b3YH-Ivf5eDKABuR5N-8Uw,0,,,四川省
凉山彝族自治州,西昌市,,月城广场,"102.265305,27.889385",,川报观察,https://mp.weixin.qq.com/s/b3YH-Ivf5eDKABuR5N-8Uw,0,,,四川省
达州,渠县,,长德安置房2栋2单元,"106.960937,30.864591",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
达州,渠县,,地旺广场2号楼,"106.962023,30.838275",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
达州,渠县,,火车站,"107.012294,30.805657",,川报观察,https://mp.weixin.qq.com/s/m6dP4uyvhPmgiH7sW-12Zg,0,,,四川省
