city,district,street,place,location,remark,source,link,is_today,title,text,province
天津,南开区,,王顶提,"117.14656,39.085417",,滨海发布,https://mp.weixin.qq.com/s/PnHa7utyFQXLUPzlBMJO1w,0,,,天津市
天津,南开区,,南开区,,,天津广播,https://mp.weixin.qq.com/s/cdA9s_N4ivL77Fa2lLJCzg,0,,,天津市
天津,河北区,,望海楼街,"117.207713,39.161065",,天津广播,https://mp.weixin.qq.com/s/YKyBTaEyJYdFKkW7ayCsTw,0,,,天津市
天津,河北区,,河北区,,,天津广播,https://mp.weixin.qq.com/s/lbWHxSGPiXgWPQLKRN9UkQ,0,,,天津市
天津,河西区,,华润超市河西区南楼店,"117.224191,39.097487",,新闻河西,https://mp.weixin.qq.com/s/lnzTrVvLEbKlJW2YN46FqA,0,,,天津市
天津,河西区,,河西区,,,天津广播,https://mp.weixin.qq.com/s/Vbe74pYTlUClBn32vM7iyw,0,,,天津市
天津,西青区,,杨柳青镇,"117.015214,39.128392",,天津广播,https://mp.weixin.qq.com/s/qtHkuu4nRB4eDRk0i67Qbw,0,,,天津市
天津,西青区,,中北镇溪秀苑小区,"117.092957,39.123312",,天津广播,https://mp.weixin.qq.com/s/Vjw4lZQYssFlctBbDaSOlA,0,,,天津市
天津,津南区,,津南区,,,天津广播,https://mp.weixin.qq.com/s/Bk9ff2ItnTM6bwXfS6c9fA,0,,,天津市
天津,红桥区,,红桥区,,,天津广播,https://mp.weixin.qq.com/s/tjzhhgDW_DbVq3eSouybPQ,0,,,天津市
天津,武清区,,静湖花园小区,"117.084723,39.338813",,天津广播,https://mp.weixin.qq.com/s/ddxk5I0ZmzGripCk_r6fVg,0,,,天津市
天津,北辰区,,朝阳楼市场,"117.204974,39.194229",,滨海发布,https://mp.weixin.qq.com/s/PnHa7utyFQXLUPzlBMJO1w,0,,,天津市
天津,北辰区,,果园新村街,"117.138442,39.221197",,滨海发布,https://mp.weixin.qq.com/s/PnHa7utyFQXLUPzlBMJO1w,0,,,天津市
天津,北辰区,,瑞景街,"117.106433,39.195624",,天津广播,https://mp.weixin.qq.com/s/fl0mWW8wggNfgVZUniFbIQ,0,,,天津市
天津,北辰区,,双口镇,"117.035596,39.22711",,天津广播,https://mp.weixin.qq.com/s/4rrVAZ8WGxxOO3AFGVJInQ,0,,,天津市
天津,北辰区,,普东街强宜里小区,"117.204251,39.191313",,天津广播,https://mp.weixin.qq.com/s/ddxk5I0ZmzGripCk_r6fVg,0,,,天津市
天津,滨海新区,,中新生态城,"117.74044,39.125217",,天津市卫健委,http://wsjk.tj.gov.cn/art/2020/1/30/art_14_70358.html,0,,,天津市
天津,滨海新区,,万通上北新新家园,"117.645761,39.062401",,天津日报,https://mp.weixin.qq.com/s/JD-9-4ohOZg5Kht6pZP_ZQ,0,,,天津市
天津,宁河区,,运河家园,"117.80168,39.351504",,网信宁河,https://mp.weixin.qq.com/s/xFxNuOPocI1B57YwqlDdPg,0,,,天津市
天津,宁河区,,王北村,"117.772053,39.358864",,网信宁河,https://mp.weixin.qq.com/s/o6TKEr2lHRK8OTl4-eIF1Q,0,,,天津市
天津,宁河区,,芦台老城区匹克店,"117.827206,39.32611",,网信宁河,https://mp.weixin.qq.com/s/amzqj6AcFJhweIRedaUCdA,0,,,天津市
天津,宁河区,,芦台老城区海澜之家店,"117.827949,39.325624",,网信宁河,https://mp.weixin.qq.com/s/amzqj6AcFJhweIRedaUCdA,0,,,天津市
天津,宁河区,,芦台老城区安踏店,"117.824257,39.326321",,网信宁河,https://mp.weixin.qq.com/s/amzqj6AcFJhweIRedaUCdA,0,,,天津市
