city,district,street,place,location,remark,source,link,is_today,title,text,province
吴忠,青铜峡市,,邵岗镇大沟村卫生室,"105.93716,38.089841",,银川晚报,https://mp.weixin.qq.com/s/d0ChVGAE859JSuSQ4-yuwg,1,,,宁夏
吴忠,青铜峡市,,邵刚镇甘城子卫生院,"105.930595,38.107826",,银川晚报,https://mp.weixin.qq.com/s/d0ChVGAE859JSuSQ4-yuwg,1,,,宁夏
吴忠,青铜峡市,,甘城子大沟村1队,"105.938144,38.095875",,银川晚报,https://mp.weixin.qq.com/s/d0ChVGAE859JSuSQ4-yuwg,1,,,宁夏
吴忠,同心县,,韦州镇韦一村,"106.479259,37.288279",,吴忠市新闻中心,http://www.wuzhong.gov.cn/sy/gsgg/202002/t20200206_1943703.html,0,,,宁夏
吴忠,同心县,,韦州镇石峡村,"106.48287,37.282071",,吴忠市新闻中心,http://www.wuzhong.gov.cn/sy/gsgg/202002/t20200207_1945035.html,0,,,宁夏
吴忠,同心县,,韦州镇庆华村,"106.47067,37.240856",,银川晚报,https://mp.weixin.qq.com/s/6QQRQ2p1q9OSHHa85dJvpA,0,,,宁夏
吴忠,红寺堡区,,新庄集乡东川村,"106.135288,37.330592",,银川新闻网,http://www.hinews.cn/news/system/2020/01/29/032265625.shtml,0,,,宁夏
固原,隆德县,,县城华天广场负一楼超市,"106.124895,35.618367",,银川晚报,https://mp.weixin.qq.com/s/p8FwAyaWqBQPQ9ExZNRunA,0,,,宁夏
固原,隆德县,,阳光小区完达山世纪贝贝孕婴店,"106.130311,35.618964",,银川晚报,https://mp.weixin.qq.com/s/p8FwAyaWqBQPQ9ExZNRunA,0,,,宁夏
固原,隆德县,,新世纪商城斜对面阳光宝贝婴幼儿生活馆,"106.121108,35.617823",,银川晚报,https://mp.weixin.qq.com/s/p8FwAyaWqBQPQ9ExZNRunA,0,,,宁夏
固原,隆德县,,县卫健局对面零岁计划孕婴童幼儿生活馆,"106.118992,35.617168",,银川晚报,https://mp.weixin.qq.com/s/p8FwAyaWqBQPQ9ExZNRunA,0,,,宁夏
固原,隆德县,,观庄乡红堡村,"106.076246,35.755092",,银川晚报,https://mp.weixin.qq.com/s/p8FwAyaWqBQPQ9ExZNRunA,0,,,宁夏
银川,西夏区,,同心路东塔巷露天市场,"106.123768,38.48936",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
银川,西夏区,,新百生活超市（澳海澜庭店）,"106.06451,38.486229",,银川晚报,https://mp.weixin.qq.com/s/3GBAMxcOz-brFl_7_soiXg,0,,,宁夏
银川,西夏区,,澳海澜庭小区8号楼车棚商店,"106.063952,38.488465",,银川晚报,https://mp.weixin.qq.com/s/3GBAMxcOz-brFl_7_soiXg,0,,,宁夏
银川,西夏区,,澳海澜庭加气站,"106.064906,38.490638",,银川晚报,https://mp.weixin.qq.com/s/3GBAMxcOz-brFl_7_soiXg,0,,,宁夏
银川,西夏区,,文萃街宁阳店新百超市,"106.128383,38.482718",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
银川,西夏区,,浙江商城地下负一层新百超市,"106.125853,38.488498",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
银川,西夏区,,老百货大楼,"106.1259,38.485802",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
银川,西夏区,,三小西侧远志堂大药店,"106.127421,38.485717",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
银川,西夏区,,盛世金橡小区,"106.155991,38.49114",,银川新闻网,http://www.hinews.cn/news/system/2020/01/29/032265625.shtml,0,,,宁夏
银川,兴庆区,,解放路新百ccmall俏玲珑餐厅,"106.279364,38.464666",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,1,,,宁夏
银川,兴庆区,,宝湖路颐园小区北门对面美佳味麻辣烫,"106.300643,38.440349",,银川晚报,https://mp.weixin.qq.com/s/d0ChVGAE859JSuSQ4-yuwg,1,,,宁夏
银川,兴庆区,,银川商城,"106.279387,38.459803",,银川晚报,https://mp.weixin.qq.com/s/d0ChVGAE859JSuSQ4-yuwg,1,,,宁夏
银川,兴庆区,,银川国际商贸城门口,"106.314765,38.496816",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
银川,兴庆区,,新世纪冷链物流中心水果交易厅小任果蔬批发店,"106.272022,38.438278",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
银川,兴庆区,,温州商城,"106.278329,38.458487",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
银川,金凤区,,新华联商厦HM店,"106.180663,38.49036",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
中卫,沙坡头区,,宣和乡草台新隆村,"105.466768,37.408733",,银川晚报,https://mp.weixin.qq.com/s/16ICfUi-Z2UMbbckkm0Xpw,0,,,宁夏
