city,district,street,place,location,remark,source,link,is_today,title,text,province
铜陵,枞阳县,,雨坛镇先锋村,"117.151373,30.787655",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,横埠镇建材大市场,"117.504192,30.894652",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,钱铺镇将军村,"117.483742,30.946738",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,藕山镇藕山村,"117.3971,30.722082",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,白柳镇龙井村,"117.332068,30.971121",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,枞阳镇郭桥村,"117.316953,30.742626",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,浮山镇浮山村,"117.282233,30.909554",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,浮山镇向阳村,"117.246093,30.904218",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,横埠镇方正村,"117.439706,30.855789",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,横埠镇左山村,"117.522259,30.892897",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,横埠镇龙山村,"117.489406,30.860414",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,会宫镇拔茅村,"117.308966,30.822295",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,会宫镇庆华村,"117.270597,30.851053",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,枞阳县,,铁铜乡新丰村,"117.219852,30.657389",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,义安区,,胥坝乡长杨村,"117.811659,31.06548",,铜陵市卫健委,http://wsjkw.tl.gov.cn/1982/1983/202002/t20200211_940668.html,0,,,安徽省
铜陵,义安区,,钟鸣镇九榔村,"118.13141,30.955757",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,铜官区,,机厂新村,"117.789847,30.919185",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
铜陵,铜官区,,天山社区,"117.838219,30.94227",,铜陵发布,https://mp.weixin.qq.com/s/IOU01Mp2-XSSIH_SpdIZiw,0,,,安徽省
黄山,休宁县,,鹤城乡新安源村茶源山组,"117.737887,29.603583",,黄山发布,https://weibo.com/5228966459/Is1yi6XUt,1,,,安徽省
黄山,休宁县,,陈霞乡回溪,"118.066148,29.646146",,黄山发布,https://mp.weixin.qq.com/s/8-cGTX4ic7EknTFt6G0rtA,1,,,安徽省
黄山,屯溪区,,世贸绿洲小区,"118.339348,29.720823",,黄山发布,https://weibo.com/5228966459/Is1yi6XUt,1,,,安徽省
黄山,歙县,,徽城镇练江花园,"118.417159,29.859895",,黄山发布,https://weibo.com/5228966459/IrHbYlTAu,1,,,安徽省
宣城,宁国市,,方塘乡,"118.732451,30.478056",,宣城市卫健委,http://wjw.xuancheng.gov.cn/News/show/1093121.html,0,,,安徽省
宣城,郎溪县,,建平镇,"119.185834,31.129062",,宣城市卫健委,http://wjw.xuancheng.gov.cn/News/show/1090016.html,0,,,安徽省
宣城,绩溪县,,绩溪县上庄镇,"118.450228,30.125582",,宣城市卫健委,http://wjw.xuancheng.gov.cn/News/show/1090016.html,0,,,安徽省
宣城,宣州区,,孙埠镇合义村,"118.90892,30.945779",,宣城发布,https://weibo.com/2882711442/IsXTUt6wn,0,,,安徽省
淮南,八公山区,,山王镇李咀村,"116.826711,32.66879",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,潘集区,,架河镇前家村,"116.798739,32.74833269",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,潘集区,,潘三新村,"116.747105,32.811626",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,毛集实验区,,毛集镇河西村,"116.608777,32.69063",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,高新区,,泉山湖小区,"116.976079,32.60615",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,凤台县,,城关镇龙翔花园8号楼,"116.700615,32.707942",,淮南发布,https://mp.weixin.qq.com/s/vuoyFqGxRtPl3yhKoy2aaA,0,,,安徽省
淮南,凤台县,,凤凰镇三里沟社区,"116.7189691,32.72602259",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,凤台县,,凤凰镇凤凰湖新区,"116.6822788,32.72771871",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,凤台县,,新集镇郭郢村,"116.539035,32.692206",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,田家庵区,,公园街道淮河新城,"116.9984766,32.64916283",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,田家庵区,,公园街道金厦小区,"117.0151384,32.6496632",,淮南发布,https://weibo.com/2526056150/IsNjld33C,0,,,安徽省
淮南,田家庵区,,洞山街道阳光国际城西区C栋,"117.0177527,32.62581264",,淮南发布,https://weibo.com/2526056150/IsVcN26ly,0,,,安徽省
池州,东至县,,尧渡镇梅林社区,"117.029823,30.104548",,池州市政府发布,https://mp.weixin.qq.com/s/i6Ra44P7EX-NljPS6cEbDA,0,,,安徽省
池州,东至县,,东流镇城北社区,"116.928385,30.213695",,池州市卫健委,http://wjw.chizhou.gov.cn/News/show/405016.html,1,,,安徽省
池州,东至县,,葛公镇留铺村,"117.174619,30.095372",,池州市卫健委,http://wjw.chizhou.gov.cn/News/show/405016.html,1,,,安徽省
池州,东至县,,昭潭镇龙潭村,"116.794888,29.7415",,池州市卫健委,http://wjw.chizhou.gov.cn/News/show/406054.html,0,,,安徽省
池州,东至县,,青山乡中村,"116.734599,29.715439",,池州市政府发布,https://mp.weixin.qq.com/s/-ZJwgrX1XpWss88TB6peVg,0,,,安徽省
池州,东至县,,葛公镇联塘村,"117.1821,30.103333",,池州市政府发布,https://mp.weixin.qq.com/s/-ZJwgrX1XpWss88TB6peVg,0,,,安徽省
池州,东至县,,胜利镇瓦垅村,"116.970262,30.361896",,池州市政府发布,https://mp.weixin.qq.com/s/-ZJwgrX1XpWss88TB6peVg,0,,,安徽省
池州,东至县,,东至县东流镇城北社区,"116.928385,30.213695",,池州市卫健委,http://wjw.chizhou.gov.cn/News/show/405016.html,0,,,安徽省
池州,东至县,,东至县葛公镇留铺村,"117.174619,30.095372",,池州市卫健委,http://wjw.chizhou.gov.cn/News/show/405016.html,0,,,安徽省
池州,青阳县,,庙前镇高源村,"117.783976,30.579717",,池州市卫健委,http://wjw.chizhou.gov.cn/News/show/405016.html,0,,,安徽省
池州,青阳县,,丁桥镇丁桥村,"117.915424,30.757796",,池州市卫健委,http://wjw.chizhou.gov.cn/News/show/406054.html,0,,,安徽省
池州,贵池区,,乌沙镇晏塘社区,"117.29256,30.578909",,池州市卫健委,http://wjw.chizhou.gov.cn/News/show/406054.html,0,,,安徽省
池州,贵池区,,秋江街道阮桥社区,"117.333117,30.603399",,池州市政府发布,https://mp.weixin.qq.com/s/-ZJwgrX1XpWss88TB6peVg,0,,,安徽省
安庆,宿松县,,孚玉镇梨园新村小区,"116.127435,30.152375",,安庆发布,https://m.weibo.cn/2874978364/4469639503757839,0,,,安徽省
安庆,宿松县,,北浴乡马厂村曹湾组,"115.9516589,30.38128147",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,宿松县,,孚玉镇光明社区棉麻新居小区,"116.1087759,30.17826453",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,宿松县,,复兴镇套口村五社组,"116.5303531,29.9101074",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,宿松县,,汇口镇团结村新埂组,"116.2686395,29.86463882",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,宿松县,,破凉镇雪镇村阳田组,"116.169668,30.22648124",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,宿松县,,长铺镇马塘村余西组,"116.1969907,30.18210958",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,宿松县,,佐坝乡碧岭村徐岭组,"116.1041434,30.11027091",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,宿松县,,佐坝乡环湖村桂咀组,"116.1026304,29.99451019",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,迎江区,,滨江街道碧桂园1号公园小区,"117.1429428,30.52478708",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,迎江区,,华中路街道御景国际小区,"117.0532998,30.5123706",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,宜秀区,,白泽湖乡大枫村大塘组,"117.1243908,30.58613635",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,宜秀区,,大龙山镇百华村何洼组,"117.0069791,30.62655542",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,经开区,,菱北街道香樟里小区,"117.06025,30.53581951",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,经开区,,菱北街道菱建小区,"117.0659579,30.54010307",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,经开区,,景湖嘉苑小区,"117.073348,30.531005",,安庆发布,https://weibo.com/2874978364/It48XkVoY,0,,,安徽省
安庆,大观区,,关岳庙街二监宿舍小区,"117.037006,30.511567",,安庆发布,https://weibo.com/2874978364/It48XkVoY,0,,,安徽省
安庆,望江县,,雷池乡沟口村先进组,"116.911157,30.292833",,安庆市卫健委,http://wjw.anqing.gov.cn/13971952/98492082.html,0,,,安徽省
安庆,望江县,,长岭镇后埠村同东屋,"116.562368,30.252127",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,望江县,,华阳镇计渡村石闸三组,"116.7152601,30.08601961",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,望江县,,赛口镇兴龙村,"116.7881911,30.35255068",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,岳西县,,白帽镇余河村粮油组,"115.9133388,30.81202547",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,岳西县,,店前镇店前村李屋组,"116.0135849,30.72632905",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,岳西县,,古坊乡下坊村宁畈组,"115.9430481,30.87841559",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,岳西县,,河图镇皖源村河湾组,"115.9888499,30.91497825",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,岳西县,,天堂镇阳光小区,"116.3695578,30.84570642",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,岳西县,,天堂镇城东社区小城宝邸小区,"116.3717294,30.85051416",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,岳西县,,冶溪镇琥珀村琥珀组,"115.9085737,30.73893041",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,岳西县,,冶溪镇司空山村上胜利组,"115.9260498,30.72236832",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,太湖县,,晋熙镇天高财富广场,"116.575987,30.634057",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,太湖县,,小池镇中心村桥头组,"116.429701,30.512962",,安庆发布,https://m.weibo.cn/2874978364/4469997789262039,0,,,安徽省
安庆,太湖县,,新仓镇金鸡村蔡榜组,"116.3909312,30.42907604",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,怀宁县,,石牌镇广丰村中心组,"116.703541,30.403076",,安庆市卫健委,http://wjw.anqing.gov.cn/13971952/98351812.html,0,,,安徽省
安庆,怀宁县,,黄墩镇高楼村团结组,"116.774019,30.612751",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,怀宁县,,凉亭乡双湖村庙兴组,"116.9403143,30.73299187",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,怀宁县,,凉亭乡双湖村珠林组,"116.9318099,30.74357165",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,怀宁县,,马庙镇鹿苑村双桂组,"116.7364239,30.73987111",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,怀宁县,,石牌镇广丰村新建组,"116.7023688,30.40316064",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,怀宁县,,平山镇鸣凤村胜天组,"116.6492,30.463133",,安庆发布,https://m.weibo.cn/2874978364/4469997789262039,0,,,安徽省
安庆,怀宁县,,高河镇黄梅阁小区,"116.841558,30.734452",,安庆发布,https://weibo.com/2874978364/It48XkVoY,0,,,安徽省
安庆,桐城市,,新渡镇双墩村合胜组,"116.8447061,30.81723372",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,新渡镇永久村程西组,"116.89296,30.924045",,安庆发布,https://m.weibo.cn/2874978364/4469639503757839,0,,,安徽省
安庆,桐城市,,双港镇银杏花园小区,"116.943502,30.819",,安庆发布,https://m.weibo.cn/2874978364/4469997789262039,0,,,安徽省
安庆,桐城市,,龙眠街道长生社区三隔组,"116.961531,31.059321",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,龙眠街道碧桂园小区,"116.9118723,31.0984154",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,龙眠街道阅城国际小区,"116.9118723,31.0984154",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,双港镇潘赛村西瓜组,"116.9982801,30.80192009",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,双港镇民畈村新民组,"116.973188,30.78368921",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,文昌街道公园社区粮食局宿舍,"116.943502,30.819",,安庆发布,https://m.weibo.cn/2874978364/4469997789262039,0,,,安徽省
安庆,桐城市,,文昌街道石河村大隔组,"116.9467898,31.03035827",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,新渡镇罗潭村罗潭组,"116.9045609,30.84848445",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,范岗镇棋盘岭村张老屋队,"116.941101,30.914471",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,龙眠街道黄燕村横排组,"116.88875,31.10414232",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
安庆,桐城市,,,"116.943502,30.819",,安庆发布,https://m.weibo.cn/2874978364/4469997789262039,0,,,安徽省
安庆,潜山市,,梅城镇水岸江南B区,"116.5848901,30.6372154",,安庆发布,https://weibo.com/2874978364/IsW3Ntfzw,0,,,安徽省
