city,district,street,place,location,remark,source,link,is_today,title,text,province
德州,武城县,,武城镇西岳觉寺村,"116.171695,37.165069",,齐鲁晚报,https://mp.weixin.qq.com/s/-kCKCLdhNG52XnvC4MKkEg,0,,,山东省
德州,武城县,,城区宏图学府,"116.086185,37.226437",,齐鲁晚报,https://mp.weixin.qq.com/s/-kCKCLdhNG52XnvC4MKkEg,0,,,山东省
德州,武城县,,武城镇肖邢王庄村,"116.142478,37.172499",,齐鲁晚报,https://mp.weixin.qq.com/s/-kCKCLdhNG52XnvC4MKkEg,0,,,山东省
德州,武城县,,浩天家园,"116.092768,37.21853",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200210_2517830.html,0,,,山东省
德州,武城县,,西岳觉寺村,"116.171695,37.165069",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200210_2518042.html,0,,,山东省
德州,乐陵市,,彭家村,"117.118616,37.682024",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200210_2518042.html,0,,,山东省
德州,乐陵市,,化楼镇石家村,,,山东省卫健委官网,,1,,,山东省
德州,德城区,,水电十三局新景苑,"116.309759,37.441208",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200210_2518042.html,0,,,山东省
威海,经区,,富安花园小区,"122.148904,37.419444",,齐鲁晚报,https://mp.weixin.qq.com/s/2fBwYRiwCr5qZnU_eKXPew,0,,,山东省
威海,乳山,,海阳所镇海韵观海苑小区,"121.638034,36.81549",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200211_2518567.html,0,,,山东省
威海,乳山,,曹家庄村,"121.613625,36.886323",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200210_2518042.html,0,,,山东省
威海,苘山镇,,和谐苑小区,"122.072939,37.280377",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200211_2518567.html,0,,,山东省
威海,环翠区,,琅声园小区,"122.022629,37.483032",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200210_2517830.html,0,,,山东省
威海,文登区,,龙山街道三里河路附近,"122.05019,37.208489",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200212_2519834.html,0,,,山东省
烟台,牟平区,,文化街道新华里村,"121.599438,37.384925",,齐鲁晚报,https://mp.weixin.qq.com/s/oAfiP_3o-JwXA0n2L6ECrg,0,,,山东省
烟台,高新区,,银海熙岸小区,"121.504942,37.446568",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200209_2517629.html,0,,,山东省
烟台,莱州,,教育路小区,"119.953115,37.182912",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200210_2518042.html,0,,,山东省
烟台,招远市,,罗峰办事处西苑龙馨,"120.394438,37.368465",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200213_2520602.html,1,,,山东省
烟台,招远市,,罗峰办事处石门宋家村,"120.375418,37.370443",,齐鲁晚报,https://mp.weixin.qq.com/s/-kCKCLdhNG52XnvC4MKkEg,0,,,山东省
烟台,招远市,,罗峰办事处石门大宋家村,"120.33469,37.337191",,齐鲁晚报,https://mp.weixin.qq.com/s/RPz5kUR1QqTnuE_7EvF2VQ,0,,,山东省
烟台,芝罘区,,黄务街道香槟小镇,"121.35945,37.468404",,山东省卫健委官网,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200212_2519834.html,0,,,山东省
泰安,新泰市,,幸福里小区,"117.763074,35.91596",,齐鲁晚报,https://mp.weixin.qq.com/s/RDmS33t5JxlYRPzGPlt_hA,0,,,山东省
泰安,新泰市,,过原山东电缆厂宿,"117.135354,36.192084",,齐鲁晚报,https://mp.weixin.qq.com/s/RDmS33t5JxlYRPzGPlt_hA,0,,,山东省
泰安,新泰市,,青云街道大洼村,"117.781693,35.89384",,齐鲁晚报,https://mp.weixin.qq.com/s/RDmS33t5JxlYRPzGPlt_hA,0,,,山东省
泰安,新泰市,,羊流镇王家林村,"117.50222,36.018068",,齐鲁晚报,https://mp.weixin.qq.com/s/RDmS33t5JxlYRPzGPlt_hA,0,,,山东省
