city,district,street,place,location,remark,source,link,is_today,title,text,province
运城,绛县,,绛县,"111.571958,35.490501",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
运城,稷山县,,稷山县,"110.985604,35.602484",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
运城,稷山县,,稷山县稷峰镇太杜村,"111.056774,35.641971",,山西青年报,https://m.weibo.cn/detail/4468614512282405,0,,,山西省
运城,新绛县,,新绛县,"111.225789,35.616156",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
运城,盐湖区,,盐湖区,"111.000745,35.013108",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
运城,河津市,,河津市,"110.70816,35.593819",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
运城,芮城县,,芮城县,"110.687282,34.70131",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
运城,万荣县,,万荣县,"110.835852,35.419069",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
运城,夏县,,夏县,"111.220293,35.141672",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
运城,平陆县,,人人家超市,"111.218392,34.836158",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24840.hrh,1,,,山西省
运城,平陆县,,宏达超市,"111.21996,34.836722",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24840.hrh,1,,,山西省
运城,平陆县,,乐购超市,"111.221815,34.8356",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24840.hrh,1,,,山西省
运城,平陆县,,茅津回春大药房,"111.221649,34.832749",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24840.hrh,1,,,山西省
运城,平陆县,,茅津路惠民药房,"111.222029,34.838529",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24840.hrh,1,,,山西省
运城,平陆县,,圣人涧镇崔家坡,"111.227722,34.837996",,山西晚报,https://m.weibo.cn/1232121710/4470103003866063,0,,,山西省
运城,平陆县,,圣人涧镇王崖村,"111.21623,34.820965",,山西晚报,https://m.weibo.cn/1232121710/4470103003866063,0,,,山西省
运城,平陆县,,圣人涧镇涧东村,"111.241088,34.830705",,山西晚报,https://m.weibo.cn/1232121710/4470103003866063,0,,,山西省
运城,平陆县,,圣人涧镇饮食服务公司家属楼,"111.21386,34.844225",,运城发布,https://mp.weixin.qq.com/s/7yyi-z5X8HrLTq-d7I4QIA,0,,,山西省
运城,平陆县,,古虞市场夜市“小江米线店”,"111.209639,34.835311",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24840.hrh,1,,,山西省
晋中,平遥县,,宁固镇苏封村,"112.034886,37.209121",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24789.hrh,0,,,山西省
晋中,平遥县,,杜家庄乡东凤落村,"112.054277,37.26805",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24840.hrh,1,,,山西省
晋中,平遥县,,宁固镇滩头村,"112.060457,37.239697",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24840.hrh,1,,,山西省
晋中,平遥县,,香乐乡香乐村,"111.979631,37.235831",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24757.hrh,0,,,山西省
晋中,平遥县,,杜家庄乡苏家堡村,"112.109781,37.245728",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24774.hrh,0,,,山西省
晋中,寿阳县,,田园路,"113.182316,37.89083",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24847.hrh,1,,,山西省
临汾,吉县,,荣辰佳苑,"110.687376,36.106703",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24757.hrh,0,,,山西省
临汾,乡宁县,,乡宁县,"110.847021,35.970389",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
朔州,朔城区,,神头一电厂,"112.553665,39.372154",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24789.hrh,0,,,山西省
朔州,朔城区,,神头二厂,"112.550117,39.364766",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24789.hrh,0,,,山西省
朔州,怀仁市,,同仁家园,"113.14511,39.825664",,怀仁公安,https://mp.weixin.qq.com/s/3_YI8FA6JqJ-Llchjf5_ug,0,,,山西省
朔州,应县,,南河种镇东堡村,"113.267742,39.485589",,山西晚报,https://mp.weixin.qq.com/s/pCknNhnIW75e0cHBe54iyg,0,,,山西省
朔州,应县,,金城镇南丰里,"113.201175,39.510227",,山西晚报,https://mp.weixin.qq.com/s/pCknNhnIW75e0cHBe54iyg,0,,,山西省
朔州,应县,,杏寨乡石店村,"113.10202,39.49872",,山西晚报,https://mp.weixin.qq.com/s/pCknNhnIW75e0cHBe54iyg,0,,,山西省
忻州,五台县,,茹村乡陡咀村,"113.421824,38.711944",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24774.hrh,0,,,山西省
忻州,忻府区,,高城乡永丰庄村,"112.770594,38.530836",,山西发布,https://mp.weixin.qq.com/s/23fOSN0X3dT99e22m34Few,0,,,山西省
阳泉,盂县,,秀水镇路洞社区（红楼干休所）,"113.404406,38.0919",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24757.hrh,0,,,山西省
阳泉,城区,,城区,"113.60067,37.847437",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24821.hrh,0,,,山西省
长治,潞州区,,马厂镇,"113.122673,36.31754",,山西晚报,https://weibo.com/1232121710/ItgbhBmux?type=comment#_rnd1581249535331,0,,,山西省
长治,潞州区,,长治学院北校区家属院,"113.135623,36.211057",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24789.hrh,0,,,山西省
长治,潞州区,,万达广场永辉超市,"113.127622,36.218499",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24789.hrh,1,,,山西省
长治,潞州区,,清华宾馆,"113.11715,36.155246",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24789.hrh,1,,,山西省
长治,潞州区,,捉马西大街123号福喜生活超市,"113.113585,36.218785",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24789.hrh,1,,,山西省
长治,潞州区,,长治学院北校区9号楼,"113.136822,36.210908",,山西日报,https://mp.weixin.qq.com/s/BEf8kNgXeQhxvmMjylOmgQ,0,,,山西省
长治,长子县,,丹朱镇,"112.8907,36.119095",,山西晚报,https://weibo.com/1232121710/ItgbhBmux?type=comment#_rnd1581249535331,0,,,山西省
长治,长子县,,庆丰小区,"112.875644,36.116353",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24847.hrh,1,,,山西省
长治,长子县,,慈林镇南沟村,"112.691,36.076402",,山西日报,https://mp.weixin.qq.com/s/BEf8kNgXeQhxvmMjylOmgQ,0,,,山西省
长治,屯留区,,吾元镇,"112.702971,36.424985",,山西晚报,https://weibo.com/1232121710/ItgbhBmux?type=comment#_rnd1581249535331,0,,,山西省
大同,平城区,,交通苑,"113.295011,40.046396",,山西省卫健委,http://wjw.shanxi.gov.cn/wjywl02/24774.hrh,0,,,山西省
大同,平城区,,同泉路,"113.250206,40.0808",,山西日报,https://mp.weixin.qq.com/s/uaNlrAc-0-i_rMvYaAYVJA,0,,,山西省
大同,平城区,,大秦佳苑小区南门,"113.260412,40.086689",,山西日报,https://mp.weixin.qq.com/s/uaNlrAc-0-i_rMvYaAYVJA,0,,,山西省
大同,平城区,,马军营乡西河河村,"113.287343,40.039163",,山西日报,https://mp.weixin.qq.com/s/uaNlrAc-0-i_rMvYaAYVJA,0,,,山西省
