city,district,street,place,location,remark,source,link,is_today,title,text,province
揭阳,普宁市,,高铁站如家酒店,"116.203545,23.293057",,揭阳发布,https://mp.weixin.qq.com/s/y9lpITTKuZivPJB9l55ORg,0,,,广东省
揭阳,普宁市,,翡翠明珠酒店,"116.156497,23.297634",,揭阳发布,https://mp.weixin.qq.com/s/y9lpITTKuZivPJB9l55ORg,0,,,广东省
揭阳,普宁市,,流沙郭厝寮普宁泰嵘医药有限公司,"116.20456,23.312094",,揭阳发布,https://mp.weixin.qq.com/s/y9lpITTKuZivPJB9l55ORg,0,,,广东省
揭阳,揭东区,,云路镇北洋市场,"116.473324,23.586246",,揭阳发布,https://mp.weixin.qq.com/s/XwNjdNq5T1j_yI4r5o5gTQ,0,,,广东省
揭阳,揭东区,,池渡村,"116.492394,23.56041",,揭阳发布,https://mp.weixin.qq.com/s/XwNjdNq5T1j_yI4r5o5gTQ,0,,,广东省
河源,源城区,,旺福路出租屋,"114.706392,23.743599",,河源卫生健康,https://mp.weixin.qq.com/s/hywpRGEm_OJepGkhPbqYOQ,0,,,广东省
河源,东源县,,船塘镇三河积良下村,"114.906602,24.219507",,河源卫生健康,https://mp.weixin.qq.com/s/yCMbVMLBuXAhTNhtzZeY7w,0,,,广东省
清远,英德市,,青塘集贸市场,"113.852738,24.207837",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,英德市,,青塘建新村委会陈屋村,"112.042784,24.24712",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,佛冈县,,银座超市,"113.533219,23.87053",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,阳山县,,城南海逸华庭,"112.635446,24.475624",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,阳山县,,工业大道特色鲜品鱼庄,"112.64305,24.459458",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,清新区,,龙颈镇恒大金碧天下,"112.926576,23.852885",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,清城区,,龙塘镇银盏嘉福工业园欣强电子有限公司宿舍区,"113.113064,23.510521",,清远发布,https://mp.weixin.qq.com/s/MPkzfHNESrN7F8ZKCYob7Q,0,,,广东省
清远,清城区,,凤城世家,"113.059038,23.680154",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,清城区,,东城街海逸华庭,"113.045937,23.704302",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,清城区,,源潭镇佳利乐包装有限公司宿舍区,"113.214407,23.656583",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,清城区,,石角镇美林湖天汇半岛,"113.062087,23.508593",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,连山壮族瑶族自治县,,吉田镇御庭山庄,"112.09076,24.564029",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
清远,连山壮族瑶族自治县,,小三江镇田心村委会雷冲村,"112.140218,24.263551",,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020200205258622.html,0,,,广东省
汕头,南澳县,,深澳镇走马埔村,"117.05779,23.468279",,汕头发布,https://mp.weixin.qq.com/s/MJayWWtfMetX7uypjW34jA,0,,,广东省
汕头,南澳县,,后宅镇隆澳大街,"117.02753,23.421592",,汕头发布,https://mp.weixin.qq.com/s/MJayWWtfMetX7uypjW34jA,0,,,广东省
汕头,南澳县,,蓝海豪景,"117.032407,23.411268",,南方都市报,https://mp.weixin.qq.com/s/Y2tnLZ1OaFofrnxWPtHREg,0,,,广东省
