city,district,street,place,location,remark,source,link,is_today,title,text,province
钦州,灵山县,,檀圩镇红卫路,"109.204883,22.344707",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
钦州,灵山县,,檀圩镇沙井路口的本草药店,"109.291554,22.418575",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
钦州,灵山县,,檀圩镇新菜市益生堂,"109.205083,22.340005",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
钦州,灵山县,,圩镇沙井路口对面的广益药店,"109.206615,22.341478",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
钦州,灵山县,,檀圩社区工农街,"109.206618,22.343447",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
钦州,灵山县,,檀圩镇檀香超市,"109.206838,22.340956",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
钦州,灵山县,,檀圩镇龙武路,"109.20988,22.344982",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
钦州,灵山县,,灵山县步行街“战神”服装店,"109.291554,22.418575",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
钦州,灵山县,,湘桂联华超市,"109.298095,22.412612",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
钦州,灵山县,,灵城街道,"109.296413,22.425302",,广西新闻网,https://mp.weixin.qq.com/s/_w9qqAIgV8kIQGOL4pKCaQ,0,,,广西省
柳州,柳南区,,飞鹅路景泰大酒店附近,"109.391618,24.306426",,广西新闻网,https://mp.weixin.qq.com/s/_w9qqAIgV8kIQGOL4pKCaQ,0,,,广西省
河池,都安县,,澄江镇板江村利众摩托车,"108.121018,23.927573",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,都安县,,下坳镇下坳村新村队,"107.934981,24.311035",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,都安县,,都安冠超市,"108.106236,23.930444",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,都安县,,安阳镇明大罗马城2栋,"108.099704,23.941661",,广西新闻网,https://mp.weixin.qq.com/s/LcR9UuoA-NO5Gx3AOYw5cQ,0,,,广西省
河池,都安县,,安阳镇金澄水岸13栋,"108.109032,23.928988",,广西新闻网,https://mp.weixin.qq.com/s/LcR9UuoA-NO5Gx3AOYw5cQ,0,,,广西省
河池,都安县,,安阳镇百才新区,"108.100505,23.922625",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,都安县,,都安县休闲广场,"108.101451,23.929225",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,都安县,,澄江镇桑里村塘江屯,"108.118085,23.927593",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,都安县,,澄江镇甘湾村加孟屯,"108.176151,23.961494",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,都安县,,创业园,"108.115446,23.955739",,广西新闻网,https://mp.weixin.qq.com/s/nCz7_mN8s0wERezwMWzYkg,0,,,广西省
河池,都安县,,高岭镇正玄村巴文队,"108.096906,24.022553",,广西新闻网,https://mp.weixin.qq.com/s/nCz7_mN8s0wERezwMWzYkg,0,,,广西省
河池,都安县,,下坳镇下坳社区塘边屯,"107.933977,24.309137",,广西新闻网,https://mp.weixin.qq.com/s/nCz7_mN8s0wERezwMWzYkg,0,,,广西省
河池,都安县,,都安县安阳镇金澄水岸13栋,"108.109032,23.928988",,广西新闻网,https://mp.weixin.qq.com/s/LcR9UuoA-NO5Gx3AOYw5cQ,0,,,广西省
河池,都安县,,创业园第二期9排,"108.130261,23.917775",,广西新闻网,https://mp.weixin.qq.com/s/nCz7_mN8s0wERezwMWzYkg,0,,,广西省
河池,环江县,,思恩镇凯丰D区,"108.25843,24.835725",,广西新闻网,https://mp.weixin.qq.com/s/nCz7_mN8s0wERezwMWzYkg,0,,,广西省
河池,环江县,,思恩镇人和小区畜牧水产局住宿楼三栋对面私人房,"108.10865,23.922268",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,南丹县,,八圩乡八圩村上塘管屯,"107.719781,24.918582",,广西新闻网,https://mp.weixin.qq.com/s/8SeW6vjbDdYYbit8M7L32g,0,,,广西省
河池,金城江区,,公路宾馆,"108.064128,24.693484",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,金城江区,,工行惠文小区,"108.03916,24.689841",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,金城江区,,保平乡保平社区那麦屯,"107.829723,24.43694",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
河池,宜州区,,同德乡板高村沙隘屯,"108.352829,24.465751",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
北海,银海区,,海边小筑客栈,"109.133511,21.416794",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,望澜宾馆,"109.14279,21.414143",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,恒大御景半岛,"109.096923,21.434545",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,远方的家酒店,"109.136669,21.441517",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,侨港半岛酒店,"109.093576,21.012884",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,皇家海湾公馆,"109.158874,21.416342",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,碧桂园北纬21度,"109.088375,21.439236",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,逢时黄金海岸,"109.143979,21.419041",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,中南锦绣,"109.14262,21.429153",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,圣景龙湾,"109.147256,21.425597",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,东峰世纪公寓,"109.143388,21.447852",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,海景彩云宾馆,"109.121476,21.415746",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,万泉城,"109.132302,21.425911",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,乐途宾馆,"109.141529,21.413098",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,银海区,,海天假日酒店,"109.154381,21.404861",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,合浦县,,廉州镇延安路皇家花园,"109.21183,21.677363",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,合浦县,,党江镇新安街附近,"109.123949,21.648731",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,合浦县,,廉州镇合北路附近,"109.207222,21.65336",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,涠洲岛,,半岛阳光海景酒店,"109.094364,21.011855",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,海城区,,四川路佳美大厦,"109.110145,21.475859",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,海城区,,桐洋新城,"109.141495,21.458989",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,海城区,,海湾明珠,"109.180817,21.535555",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,海城区,,北海善水湾,"109.181936,21.527985",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,海城区,,体育宾馆,"109.124468,21.476277",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,海城区,,长城酒店,"109.119306,21.481153",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
北海,海城区,,龙凤新居1栋,"109.138406,21.456474",,广西新闻网,https://mp.weixin.qq.com/s/8SeW6vjbDdYYbit8M7L32g,0,,,广西省
北海,海城区,,老伍米粉店深港花园店,"109.126377,21.465615",,广西新闻网,https://mp.weixin.qq.com/s/XzA587DmEzSbqhJIQoCNQw,0,,,广西省
北海,海城区,,云南路景海豪庭,"109.1066,21.453503",,广西新闻网,https://mp.weixin.qq.com/s/Hs6IpqXoxWCPWX5Rg3YtwA,0,,,广西省
防城港,港口区,,北部湾大道中段99号恒大御景湾,"108.361826,21.664936",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,北部湾大道东150米阳光海岸三期,"108.356908,21.648699",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,冲孔路1号金海湾小区C3,"108.350018,21.689039",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,越秀小区国贸新城,"108.353103,21.638121",,广西新闻网,https://mp.weixin.qq.com/s/XzA587DmEzSbqhJIQoCNQw,0,,,广西省
防城港,港口区,,新大新超市（港口汽车站店）,"108.354221,21.641496",,广西新闻网,https://mp.weixin.qq.com/s/XzA587DmEzSbqhJIQoCNQw,0,,,广西省
防城港,港口区,,华联超市（桂海东盟店）,"108.356542,21.633015",,广西新闻网,https://mp.weixin.qq.com/s/XzA587DmEzSbqhJIQoCNQw,0,,,广西省
防城港,港口区,,阳光海岸对面的海滩,"108.355663,21.650055",,广西新闻网,https://mp.weixin.qq.com/s/XzA587DmEzSbqhJIQoCNQw,0,,,广西省
防城港,港口区,,睿多生活超市,"108.356044,21.64898",,广西新闻网,https://mp.weixin.qq.com/s/XzA587DmEzSbqhJIQoCNQw,0,,,广西省
防城港,港口区,,万鹤路66号塞纳庄园,"108.370459,21.688393",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,桃源街12号碧海紫金城,"108.355488,21.641835",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,金花茶大道68号新城国际,"108.363637,21.688122",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,拥军路16号辉龙美寓居,"108.352586,21.632338",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,桃源街6号西湾上城,"108.359102,21.640776",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,祥云街与长山路交会处双湾国际小区,"108.366252,21.659586",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,金花茶大道东海港城,"108.364595,21.702267",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,港口区,,广场东路与广场环路交叉口西北50米越秀小区国贸新城,"108.353103,21.638121",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,防城区,,大西南文昌超市附近自建民房,"108.366659,21.754762",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,防城区,,防城区防钦路78号红珊瑚商务宾馆,"108.365623,21.769273",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
防城港,东兴市,,江平镇万尾村18组花海木屋民宿,"108.154052,21.527015",,广西新闻网,https://mp.weixin.qq.com/s/k9mJHlu11N5bLxS9-QWXWA,0,,,广西省
来宾,象州县,,寺村镇集贸市场李四粉店,"109.841303,23.969782",,广西新闻网,https://mp.weixin.qq.com/s/_w9qqAIgV8kIQGOL4pKCaQ,0,,,广西省
来宾,象州县,,寺村永昌隆超市,"109.841958,23.96924",,广西新闻网,https://mp.weixin.qq.com/s/_w9qqAIgV8kIQGOL4pKCaQ,0,,,广西省
来宾,象州县,,二中路,"109.837871,23.97064",,广西新闻网,https://mp.weixin.qq.com/s/_w9qqAIgV8kIQGOL4pKCaQ,0,,,广西省
来宾,象州县,,寺村镇文化广场,"109.687269,23.961012",,广西新闻网,https://mp.weixin.qq.com/s/_w9qqAIgV8kIQGOL4pKCaQ,0,,,广西省
来宾,象州县,,寺村镇二中路莲花小区,"109.838572,23.968589",,广西新闻网,https://mp.weixin.qq.com/s/_w9qqAIgV8kIQGOL4pKCaQ,0,,,广西省
来宾,兴宾区,,中兴购物广场,"109.234786,23.726397",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,芳姐米饺祥和店,"109.224465,23.741373",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,嘉嘉螺蛳粉祥和店,"109.227435,23.736892",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,祥和路桂中大药房,"109.223142,23.743788",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,大地景苑,"109.221626,23.739935",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,文化路大家自选便利店,"109.216688,23.728443",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,古三开元寺,"109.227846,23.745367",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
来宾,兴宾区,,古沙路,"109.236894,23.740021",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
来宾,兴宾区,,来宾商城大菜市,"109.232939,23.728431",,广西新闻网,https://mp.weixin.qq.com/s/vtDaHndJuetQcEnRKHy-Zg,0,,,广西省
来宾,兴宾区,,河西金海菜市场,"109.2197,23.715781",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,城厢水落附近的一心堂药店,"109.237702,23.724947",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,水户皇门“啊啰哈”奶茶店,"109.217449,23.739397",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,东南一路兴旺批发部,"109.237641,23.727812",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
来宾,兴宾区,,百家惠路口附近,"109.236389,23.72685",,广西新闻网,https://mp.weixin.qq.com/s/CYpPGPDaLKvgJcFUQkAmMA,1,,,广西省
