city,district,street,place,location,remark,source,link,is_today,title,text,province
吉安,吉水县,,双村镇曲岭邹肖家村,"115.286604,27.474688",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,吉水县,,文峰镇九洲市场,"115.131733,27.212699",,吉安卫健委官网,http://wsjk.jian.gov.cn/news-show-2174.html,0,,,江西省
吉安,吉水县,,文峰镇万龙新村,"115.138528,27.216854",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,吉水县,,文峰镇翰文苑小区,"115.133972,27.22401",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,万安县,,潞田镇读堂村,"114.645066,26.536207",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,吉安县,,桐坪镇张家村,"114.879503,27.233274",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,峡江县,,桐林乡桐林村,"115.422691,27.509045",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,遂川县,,泉江镇金桔小区,"114.518972,26.322686",,吉安发布,https://mp.weixin.qq.com/s/3Zem9a3AzSiEQZCUnO1KfA,1,,,江西省
吉安,遂川县,,西溪乡横昌村,"114.28717,26.291433",,吉安发布,https://mp.weixin.qq.com/s/xopL9MDMzLo1JFsK_slx4A,0,,,江西省
吉安,遂川县,,碧洲镇栗头村,"114.657885,26.395977",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,泰和县,,苏溪镇模山村,"114.731045,26.739058",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,泰和县,,澄江镇山谷路,"114.902858,26.789978",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,泰和县,,万合镇南坑村,"115.094655,26.857076",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,永新县,,在中乡平分村,"114.126135,26.889036",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,永丰县,,恩江镇天立生态城小区,"115.432205,27.2702",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,永丰县,,君埠乡北寨村,"115.696889,26.721174",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
吉安,新干县,,金川镇新灯饰城小区,"115.390006,27.727796",,江西日报,https://mp.weixin.qq.com/s/I8W5RhgaVZE5pV9gf010Ew,0,,,江西省
萍乡,安源区,,高坑镇新华村车谷岭,"113.973257,27.628612",,江西日报,https://mp.weixin.qq.com/s/PxlQtWded0LAEHEEjPPQjQ,0,,,江西省
萍乡,安源区,,城郊管委会塞纳印象小区,"113.839972,27.630826",,江西日报,https://mp.weixin.qq.com/s/dxEv5nv9rUroHLRLYHAxtg,0,,,江西省
萍乡,安源区,,安源镇木杉塘社区御龙湾小区,"113.881055,27.616753",,江西日报,https://mp.weixin.qq.com/s?__biz=MjM5Nzg4MzQ2Mg==&mid=2650194859&idx=1&sn=0a4333612ed752f12ee6295548e84347&chksm=bed1588289a6d19417a7cd3a7deb09dc04d62698e537360b975b6baf9b900eb2beccf15ebcd9&mpshare=1&scene=1&srcid=&sharer_sharetime=1580975208434&sharer_sh,0,,,江西省
