city,district,street,place,location,remark,source,link,is_today,title,text,province
开封,禹王台区,,和平干果市场,"114.348449,34.777534",,燕赵都市报,http://www.yandunews.com/html/2020/bingli_0209/7.html,0,,,河南省
开封,尉氏县,,南曹乡北曹村,"114.203368,34.318852",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200211/8438.html,0,,,河南省
开封,尉氏县,,城关镇UK中心小区,"114.182352,34.394216",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200209/8430.html,0,,,河南省
开封,尉氏县,,南曹乡后孙村,"114.191714,34.296161",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200205/8407.html,0,,,河南省
开封,尉氏县,,南曹乡北曹村南头,,,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200206/8414.html,0,,,河南省
开封,杞县,,裴村店乡吕西村,"114.880339,34.548375",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200208/8425.html,0,,,河南省
开封,杞县,,竹林乡许村岗村,"114.747155,34.238235",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200208/8425.html,0,,,河南省
开封,杞县,,金城街道西关下关新村,"114.774887,24.696678",,开封市卫健委,https://news.dahebao.cn/dahe/appcommunity/1491148?newsId=1491148,0,,,河南省
开封,杞县,,苏木乡滩上村,"114.756006,34.454189",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200205/8407.html,0,,,河南省
开封,兰考县,,谷营镇谷西村,"114.888181,34.946751",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200208/8425.html,0,,,河南省
开封,兰考县,,小宋镇张庄寨村,"115.044968,34.908291",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200208/8425.html,0,,,河南省
开封,兰考县,,城北香阁小区,"114.833488,34.844804",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200208/8425.html,0,,,河南省
开封,兰考县,,城西班牙小镇2期,"114.808299,34.838442",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200208/8425.html,0,,,河南省
开封,兰考县,,南彰镇翟庄村王高自然村,"113.968245,33.535164",,开封市卫健委,https://news.dahebao.cn/dahe/appcommunity/1491148?newsId=1491148,0,,,河南省
开封,兰考县,,兰考县,,,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200131/8325.html,0,,,河南省
开封,鼓楼区,,南苑街道牛墩村,"114.314942,34.748297",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200208/8425.html,0,,,河南省
开封,通许县,,厉庄乡塔湾村委杨庄村,"114.78409,34.932261",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200208/8425.html,0,,,河南省
开封,通许县,,四所楼镇夏寨大队汤庄村,"114.639937,34.386325",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200208/8425.html,0,,,河南省
开封,通许县,,县委西二巷,"114.465198,34.480455",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200205/8407.html,0,,,河南省
开封,通许县,,邸阁乡张斗庄村,"114.491427,34.407879",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200205/8407.html,0,,,河南省
开封,龙亭区,,北郊乡建丰新城小区,"114.37846,34.82487",,开封市卫健委,http://www.kfwsjsw.gov.cn/news/wsxw/20200205/8407.html,0,,,河南省
焦作,武陟县,,龙源办事处孙庄村,"113.389534,35.104214",,焦作日报,https://mp.weixin.qq.com/s/6RdK1ukOydmR3A_8QZtPFA,1,,,河南省
