city,district,street,place,location,remark,source,link,is_today,title,text,province
兰州,安宁区,,国资委二十九佳园,"103.646011,36.138212",,兰州日报,https://mp.weixin.qq.com/s/5XymfTrDSeLYRnE4ELNvtQ,0,,,甘肃省
兰州,安宁区,,国泰酒店,"103.684286,36.101745",,兰州日报,https://mp.weixin.qq.com/s/5XymfTrDSeLYRnE4ELNvtQ,1,,,甘肃省
兰州,安宁区,,安宁桃海市场附近甘肃农业信用合作社,"103.748763,36.09683",,兰州日报,https://mp.weixin.qq.com/s/5XymfTrDSeLYRnE4ELNvtQ,1,,,甘肃省
兰州,七里河区,,下西园小区,"103.803662,36.060602",,甘肃发布,https://mp.weixin.qq.com/s/ffl01w2v7mjJSJuMWKrk_A,0,,,甘肃省
兰州,西固区,,临洮街怡安小区,"103.608817,36.108419",,甘肃发布,https://mp.weixin.qq.com/s/ffl01w2v7mjJSJuMWKrk_A,0,,,甘肃省
兰州,西固区,,西部市场,"103.615685,36.105282",,甘肃发布,https://mp.weixin.qq.com/s/ffl01w2v7mjJSJuMWKrk_A,0,,,甘肃省
兰州,西固区,,景华苑楼下四合院,"103.664231,36.087188",,甘肃发布,https://mp.weixin.qq.com/s/ffl01w2v7mjJSJuMWKrk_A,0,,,甘肃省
甘南州,卓尼县,,卓尼县城,"103.507109,34.589588",,甘南日报,https://mp.weixin.qq.com/s/rhnMjVwotZspWqJx3bhr2w,1,,,甘肃省
甘南州,合作市,,东四路大润发超市,,,甘南日报,https://mp.weixin.qq.com/s/rhnMjVwotZspWqJx3bhr2w,0,,,甘肃省
甘南州,合作市,,东二路华联超市,"102.912601,34.987361",,甘南日报,https://mp.weixin.qq.com/s/rhnMjVwotZspWqJx3bhr2w,0,,,甘肃省
甘南州,合作市,,西二路银亿市场,"102.910049,34.986572",,甘南日报,https://mp.weixin.qq.com/s/rhnMjVwotZspWqJx3bhr2w,1,,,甘肃省
甘南州,合作市,,东四路原州交通局家属楼,,,甘南日报,https://mp.weixin.qq.com/s/rhnMjVwotZspWqJx3bhr2w,0,,,甘肃省
平凉,华亭市,,天街E区2楼 马酷机器人培训中心,"106.630773,35.206644",,平凉日报,https://mp.weixin.qq.com/s/2yfMAhSULAMHLvD6f__V3A,0,,,甘肃省
平凉,华亭市,,文昌路口安琪蛋糕房附近,"106.648606,35.2151",,甘肃发布,https://mp.weixin.qq.com/s/rpsvtbcpOT1Qln34EUsMlg,0,,,甘肃省
平凉,华亭市,,工委纪念馆,"106.645382,35.211101",,甘肃发布,https://mp.weixin.qq.com/s/rpsvtbcpOT1Qln34EUsMlg,0,,,甘肃省
平凉,华亭市,,广电局家属院,"106.653799,35.215946",,甘肃发布,https://mp.weixin.qq.com/s/rpsvtbcpOT1Qln34EUsMlg,0,,,甘肃省
平凉,华亭市,,华煤皇甫园小区,"106.641263,35.210875",,平凉日报,https://mp.weixin.qq.com/s/2yfMAhSULAMHLvD6f__V3A,0,,,甘肃省
平凉,华亭市,,盐业公司小区,,,平凉日报,https://mp.weixin.qq.com/s/2yfMAhSULAMHLvD6f__V3A,0,,,甘肃省
平凉,华亭市,,双凤苑小区,"106.646695,35.210624",,平凉日报,https://mp.weixin.qq.com/s/2yfMAhSULAMHLvD6f__V3A,0,,,甘肃省
平凉,华亭市,,华煤菊苑小区,"106.625439,35.20544",,平凉日报,https://mp.weixin.qq.com/s/2yfMAhSULAMHLvD6f__V3A,0,,,甘肃省
平凉,华亭市,,皇甫幼儿园门口华婴母婴用品店,"106.636968,35.211421",,平凉日报,https://mp.weixin.qq.com/s/gbB4eXxN2o0qzGR_XiJUDg,0,,,甘肃省
平凉,华亭市,,莲花湖公园,"106.630862,35.203977",,平凉日报,https://mp.weixin.qq.com/s/gbB4eXxN2o0qzGR_XiJUDg,0,,,甘肃省
天水,秦州区,,庆华厂大药房,"105.704056,34.576352",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,0,,,甘肃省
天水,秦州区,,坚家河花鸟市场,"105.701857,34.576608",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,0,,,甘肃省
天水,秦州区,,兰天超市,"105.722428,34.577382",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,0,,,甘肃省
天水,秦州区,,西关街道办事处辖区,"105.696565,34.575706",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,0,,,甘肃省
天水,秦州区,,山水嘉园,"105.674207,34.573914",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,1,,,甘肃省
天水,秦州区,,进步巷,"105.728519,34.579361",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,1,,,甘肃省
天水,清水县,,王河镇王河村,"105.950561,34.89939",,甘肃发布,https://mp.weixin.qq.com/s/4t4rzPDSAosHrQLWcHrjQA,0,,,甘肃省
天水,清水县,,王河镇南湾村,"105.968483,34.914112",,甘肃发布,https://mp.weixin.qq.com/s/4t4rzPDSAosHrQLWcHrjQA,0,,,甘肃省
天水,清水县,,惠美口腔诊所（家乐超市旁边）,"106.143939,34.750219",,甘肃发布,https://mp.weixin.qq.com/s/4t4rzPDSAosHrQLWcHrjQA,0,,,甘肃省
天水,清水县,,惠美口腔诊所,,,甘肃发布,https://mp.weixin.qq.com/s/4t4rzPDSAosHrQLWcHrjQA,0,,,甘肃省
天水,麦积区,,地下商业街,"105.894142,34.545234",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,0,,,甘肃省
天水,麦积区,,道北黄河人牛肉面馆,"105.893955,34.569321",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,0,,,甘肃省
天水,麦积区,,现代银座“余生有你”酒吧,"105.909406,34.558863",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,0,,,甘肃省
天水,麦积区,,二马路步行街建设银行自动提款机,"105.897765,34.564287",,天水日报,https://mp.weixin.qq.com/s/779aA0RshWV9BSQRfhz0Lw,0,,,甘肃省
天水,麦积区,,花牛镇花牛村54号天水豪泰宾馆,"105.873422,34.549027",,平凉日报,https://mp.weixin.qq.com/s/gbB4eXxN2o0qzGR_XiJUDg,0,,,甘肃省
天水,麦积区,,花园酒店2楼御宴包厢,"105.897636,34.564454",,甘肃发布,https://mp.weixin.qq.com/s/fhqvnOGxTC3rqgSRz0lVJw,0,,,甘肃省
天水,麦积区,,二马路步行街渭滨市场,"105.896202,34.563057",,甘肃发布,https://mp.weixin.qq.com/s/V9Z0__qohABfoY3sgAoefg,0,,,甘肃省
白银,靖远县,,糜滩镇碾湾村,"104.661094,36.584947",,甘肃发布,https://mp.weixin.qq.com/s/HWWj_C94yKv9iw2uqNlQQw,0,,,甘肃省
白银,靖远县,,糜滩镇乡政府政务大厅,"104.674214,36.595011",,甘肃发布,https://mp.weixin.qq.com/s/HWWj_C94yKv9iw2uqNlQQw,0,,,甘肃省
白银,白银区,,文化路市场,"104.178394,36.548224",,甘肃发布,https://mp.weixin.qq.com/s/HWWj_C94yKv9iw2uqNlQQw,0,,,甘肃省
白银,白银区,,健身广场,"104.194291,36.525792",,甘肃发布,https://mp.weixin.qq.com/s/HWWj_C94yKv9iw2uqNlQQw,0,,,甘肃省
白银,白银区,,果冻牛肉面馆,"104.182589,36.543912",,甘肃发布,https://mp.weixin.qq.com/s/HWWj_C94yKv9iw2uqNlQQw,0,,,甘肃省
白银,白银区,,稀土公司厂区家属院,"104.187963,36.551295",,甘肃发布,https://mp.weixin.qq.com/s/ujm9Ds-fS0tKvSZMXesumQ,0,,,甘肃省
白银,白银区,,北京华联超市（白银金域观澜店）,"104.168135,36.546443",,甘肃发布,https://mp.weixin.qq.com/s/ujm9Ds-fS0tKvSZMXesumQ,0,,,甘肃省
