city,district,street,place,location,remark,source,link,is_today,title,text,province
南平,松溪县,,衢州人家,"118.798005,27.537843",,松溪县人民政府,http://www.songxi.gov.cn/cms/html/xzfwz/2020-02-11/723236948.html,0,,,福建省
南平,松溪县,,花桥乡源尾村黄屯80号,"118.656412,27.570041",,松溪县人民政府,http://www.songxi.gov.cn/cms/html/xzfwz/2020-02-11/723236948.html,0,,,福建省
南平,松溪县,,杉溪村,"118.738723,27.507907",,松溪县人民政府,http://www.songxi.gov.cn/cms/html/xzfwz/2020-02-11/723236948.html,0,,,福建省
南平,松溪县,,河东金凯小区,"118.790287,27.526052",,松溪县人民政府,http://www.songxi.gov.cn/cms/html/xzfwz/2020-02-11/723236948.html,0,,,福建省
南平,松溪县,,松溪县,,,南平卫健委,http://wjw.np.gov.cn/cms/html/npswshjhsywyh/2020-02-11/2025674694.html,0,,,福建省
南平,政和县,,政和县,,,南平卫健委,http://wjw.np.gov.cn/cms/html/npswshjhsywyh/2020-02-11/2025674694.html,0,,,福建省
南平,建瓯市,,建瓯市,,,南平卫健委,http://wjw.np.gov.cn/cms/html/npswshjhsywyh/2020-02-11/2025674694.html,0,,,福建省
南平,武夷山市,,武夷山风景区,"117.959688,27.65645",,福建日报,https://mp.weixin.qq.com/s/MIpI_Su-vrAfmJrsL2EW0g,0,,,福建省
南平,浦城县,,浦城县,,,南平卫健委,http://wjw.np.gov.cn/cms/html/npswshjhsywyh/2020-02-11/2025674694.html,0,,,福建省
南平,延平区,,延平区,,,南平卫健委,http://wjw.np.gov.cn/cms/html/npswshjhsywyh/2020-02-11/2025674694.html,0,,,福建省
南平,建阳区,,建阳区,,,南平卫健委,http://wjw.np.gov.cn/cms/html/npswshjhsywyh/2020-02-11/2025674694.html,0,,,福建省
南平,顺昌县,,顺昌县,,,南平卫健委,http://wjw.np.gov.cn/cms/html/npswshjhsywyh/2020-02-11/2025674694.html,0,,,福建省
南平,光泽县,,光泽县,,,南平卫健委,http://wjw.np.gov.cn/cms/html/npswshjhsywyh/2020-02-11/2025674694.html,0,,,福建省
宁德,福鼎市,,福鼎市,,,宁德卫健委,http://wjw.ningde.gov.cn/xwdt/gzdt/202002/t20200211_1275289.htm,0,,,福建省
宁德,古田县,,大洋坑村,"118.733024,26.541582",,福建日报,https://mp.weixin.qq.com/s/ioRsAwzEBKleBW_lzrOH6w,0,,,福建省
宁德,古田县,,万星广场C区10号楼,"118.728524,26.57414",,福建日报,https://mp.weixin.qq.com/s/ioRsAwzEBKleBW_lzrOH6w,0,,,福建省
宁德,古田县,,晟农食用菌专业合作社,"118.754533,26.591355",,福建日报,https://mp.weixin.qq.com/s/ioRsAwzEBKleBW_lzrOH6w,0,,,福建省
宁德,古田县,,松台口兰姐锅边店,"118.746246,26.574206",,福建日报,https://mp.weixin.qq.com/s/ioRsAwzEBKleBW_lzrOH6w,0,,,福建省
宁德,古田县,,城西街道康馨楼,"118.723919,26.568831",,福建日报,https://mp.weixin.qq.com/s/7-sOzrn9nuhtywLMtnlTUg,1,,,福建省
宁德,古田县,,陈天宜农药店,"118.746398,26.573863",,福建日报,https://mp.weixin.qq.com/s/ioRsAwzEBKleBW_lzrOH6w,1,,,福建省
宁德,古田县,,城西街道长岭村,"118.738589,26.52976",,福建日报,https://mp.weixin.qq.com/s/ioRsAwzEBKleBW_lzrOH6w,0,,,福建省
宁德,蕉城区,,锦江都城酒店（万达店）,"119.540416,26.652357",,福建日报,https://mp.weixin.qq.com/s/HwRgxACoC_lTyXFQUF0vHw,0,,,福建省
宁德,周宁县,,周宁县,,,宁德卫健委,http://wjw.ningde.gov.cn/xwdt/gzdt/202002/t20200211_1275289.htm,0,,,福建省
宁德,霞浦县,,霞浦县,,,宁德卫健委,http://wjw.ningde.gov.cn/xwdt/gzdt/202002/t20200211_1275289.htm,0,,,福建省
