city,district,street,place,location,remark,source,link,is_today,title,text,province
黔西南州,兴仁市,,波阳镇杨柳井村,"105.369137,25.740133",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200208_47776446.html,0,,,贵州省
黔西南州,义龙新区,,顶效街道,,,贵州省政府网,https://mp.weixin.qq.com/s/HaPceoGXl2XnSTFTKWMvZA,0,,,贵州省
黔东南州,天柱县,,白市镇,,,贵州省政府网,https://mp.weixin.qq.com/s/LiaHguhJbY3lcCW1iFM7Vw,0,,,贵州省
黔东南州,天柱县,,渡马乡岩门村,"109.298086,26.971544",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200209_47967133.html,0,,,贵州省
黔东南州,凯里市,,凯棠镇南江村,"108.093684,26.69495",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200209_48033756.html,0,,,贵州省
黔东南州,锦屏县,,彦洞乡救民村,"108.89991,26.620422",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200210_48158684.html,0,,,贵州省
安顺,镇宁布依族苗族自治县,,黄果树旅游区黄果树镇,,,贵州省政府网,https://mp.weixin.qq.com/s/LiaHguhJbY3lcCW1iFM7Vw,0,,,贵州省
黔南州,贵定县,,宝山街道庆熙社区锦江华府,"107.236998,26.580746",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200211_48421135.html,0,,,贵州省
黔南州,贵定县,,金南街道庆熙社区锦江华府,"107.236998,26.580746",,贵州省政府网,https://mp.weixin.qq.com/s/qvDOdEBXLz_lvM8yDgqZlA,0,,,贵州省
黔南州,贵定县,,云雾镇平伐村,"107.081994,26.212579",,黔南州卫生健康局,http://wsjkj.qiannan.gov.cn/xwzx_112/tzgg/202002/t20200205_47221462.html,0,,,贵州省
黔南州,贵定县,,云雾镇,,,贵州省政府网,https://mp.weixin.qq.com/s/HaPceoGXl2XnSTFTKWMvZA,0,,,贵州省
黔南州,惠水县,,涟江街道钻石城,"106.651576,26.127211",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200211_48421135.html,0,,,贵州省
黔南州,平塘县,,通州镇金桥村,"106.953274,25.818593",,黔南州卫生健康局,http://wsjkj.qiannan.gov.cn/xwzx_112/tzgg/202002/t20200205_47221462.html,0,,,贵州省
黔南州,凯里市,,城西街道,"107.962464,26.561368",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200211_48345381.html,0,,,贵州省
黔南州,都匀市,,沙包堡街道伯爵花园,"107.519363,26.276735",,仁怀政府网,https://mp.weixin.qq.com/s/QlhN4sSPNT-jK4P-Iy844A,0,,,贵州省
铜仁,石阡县,,本庄镇葛商屯村,"107.864289,27.456981",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200211_48345381.html,0,,,贵州省
铜仁,石阡县,,国际大酒店,"108.225875,27.513216",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200211_48345381.html,0,,,贵州省
铜仁,碧江区,,河西街道,"109.178919,27.722053",,贵州省政府网,https://mp.weixin.qq.com/s/4BwCADo0fnLSzmrrokR1Wg,1,,,贵州省
铜仁,玉屏县,,田坪镇罗家寨村,"109.080354,27.337338",,怀化新闻网,https://mp.weixin.qq.com/s/qehZdM2qprm3gOSq-KYG7A,0,,,贵州省
铜仁,玉屏县,,田坪镇金竹村,"109.058826,27.410681",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200210_48158684.html,0,,,贵州省
铜仁,玉屏县,,镇远县城,,,怀化新闻网,https://mp.weixin.qq.com/s/qehZdM2qprm3gOSq-KYG7A,0,,,贵州省
铜仁,玉屏县,,田坪镇罗家寨,"108.119237,28.248525",,怀化新闻网,https://mp.weixin.qq.com/s/qehZdM2qprm3gOSq-KYG7A,0,,,贵州省
铜仁,江口县,,闵孝镇鱼良溪村,"108.713678,27.657429",,贵州省卫健委,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/202002/t20200209_47967133.html,0,,,贵州省
毕节,纳雍县,,乐治镇,,,贵州省政府网,https://mp.weixin.qq.com/s/tqhxt5RZhGloGturQtHafQ,0,,,贵州省
毕节,七星关区,,撒拉溪镇,,,贵州省政府网,https://mp.weixin.qq.com/s/LiaHguhJbY3lcCW1iFM7Vw,0,,,贵州省
毕节,织金县,,阿弓镇大桥村转坡组,"105.48647,26.49482",,贵州省政府网,https://mp.weixin.qq.com/s/3m7HwyqFI3DvyxNTGc0S3w,1,,,贵州省
