city,district,street,place,location,remark,source,link,is_today,title,text,province
大连,金普新区,,光中街道,"114.875700,23.028762",,大连卫健委,http://hcod.dl.gov.cn/web/guest/18?articleId=797FC139-EEF8-2014-DF35-3491C11B51A0,0,,,辽宁省
大连,甘井子区,,中华路街道,"121.583736,38.706513",,大连卫健委,http://hcod.dl.gov.cn/web/guest/18?articleId=797FC139-EEF8-2014-DF35-3491C11B51A0,0,,,辽宁省
大连,沙河口区,,壹品星海小区,"121.497652,38.871846",,大连卫健委,http://hcod.dl.gov.cn/web/guest/18?articleId=12BFA7EB-9B27-C7E3-0A07-6126124AB0A1,0,,,辽宁省
鞍山,岫岩满族自治县,,牧牛镇大古木峪村,"123.236116,40.660535",,辽沈晚报,https://mp.weixin.qq.com/s/zOGzJVviegMaLRE8tuiLRw,0,,,辽宁省
鞍山,岫岩满族自治县,,药山镇,"123.402939,40.605934",,辽沈晚报,https://mp.weixin.qq.com/s/qVISBA_4lvTsHbKqxLexGw,0,,,辽宁省
鞍山,岫岩满族自治县,,牌楼镇,"122.823588,40.735454",,辽沈晚报,https://mp.weixin.qq.com/s/zOGzJVviegMaLRE8tuiLRw,0,,,辽宁省
鞍山,台安县,,高力房镇马坨子村,"122.553768,41.13404",,辽沈晚报,https://mp.weixin.qq.com/s/EPJhVdVsbeO8fIMRXMq0Sw,0,,,辽宁省
鞍山,台安县,,高力房马坨村,"122.553768,41.13404",,辽沈晚报,https://mp.weixin.qq.com/s/EPJhVdVsbeO8fIMRXMq0Sw,0,,,辽宁省
辽阳,弓长岭区,,汤河镇圣典浴都,"123.387225,41.132799",,辽沈晚报,https://mp.weixin.qq.com/s/_eBqIgEvm9TS3ynKsNn5Jw,0,,,辽宁省
辽阳,弓长岭区,,鑫大地国际品牌女装折扣店,"123.432835,41.159276",,辽沈晚报,https://mp.weixin.qq.com/s/_eBqIgEvm9TS3ynKsNn5Jw,0,,,辽宁省
辽阳,弓长岭区,,兄弟保真商行,"123.43463,41.157984",,辽沈晚报,https://mp.weixin.qq.com/s/_eBqIgEvm9TS3ynKsNn5Jw,0,,,辽宁省
辽阳,弓长岭区,,安平大市场,"123.432971,41.157442",,辽沈晚报,https://mp.weixin.qq.com/s/_eBqIgEvm9TS3ynKsNn5Jw,0,,,辽宁省
辽阳,辽阳县,,寒岭镇栗子园村,"123.50009,41.198398",,辽沈晚报,https://mp.weixin.qq.com/s/_eBqIgEvm9TS3ynKsNn5Jw,0,,,辽宁省
辽阳,白塔区,,风和日丽小区,"123.192218,41.256361",,辽沈晚报 ,https://mp.weixin.qq.com/s/Rbni3MycgbIuiz5YgD2DCg,0,,,辽宁省
朝阳,朝阳县,,宝德丽景小区,"119.416845,41.240208",,辽沈晚报,https://mp.weixin.qq.com/s/Chmcgkbs2YroidS7ykEMTQ,0,,,辽宁省
朝阳,朝阳县,,根德营子乡平房村,"120.499559,41.122313",,辽沈晚报,https://mp.weixin.qq.com/s/0zzx4G3oUPQmzNk6JTTUzQ,0,,,辽宁省
朝阳,朝阳县,,肖家店露天集市,"120.300707,41.402562",,辽沈晚报,https://mp.weixin.qq.com/s/0zzx4G3oUPQmzNk6JTTUzQ,0,,,辽宁省
朝阳,朝阳县,,根德乡平房村金家沟,"120.481376,41.133068",,辽沈晚报,https://mp.weixin.qq.com/s/EhXgmHb5KH0PSErkFHQqHg,0,,,辽宁省
朝阳,朝阳县,,羊山镇倒廷沟村,"120.373046,41.140548",,辽沈晚报,https://mp.weixin.qq.com/s/EhXgmHb5KH0PSErkFHQqHg,0,,,辽宁省
朝阳,凌源,,东城街道宝德丽景二期A区,"119.429281,41.237779",,辽沈晚报,https://mp.weixin.qq.com/s/Chmcgkbs2YroidS7ykEMTQ,0,,,辽宁省
朝阳,凌源,,凌源百和宾馆,"119.426908,41.237666",,辽沈晚报,https://mp.weixin.qq.com/s/Chmcgkbs2YroidS7ykEMTQ,0,,,辽宁省
朝阳,凌源,,春天房产中介,"119.393272,41.232115",,辽沈晚报,https://mp.weixin.qq.com/s/Chmcgkbs2YroidS7ykEMTQ,0,,,辽宁省
朝阳,凌源,,原味楼,"119.399278,41.229838",,辽沈晚报,https://mp.weixin.qq.com/s/Chmcgkbs2YroidS7ykEMTQ,0,,,辽宁省
朝阳,凌源,,宝德丽景小区,"119.416845,41.240208",,辽沈晚报,https://mp.weixin.qq.com/s/Chmcgkbs2YroidS7ykEMTQ,0,,,辽宁省
铁岭,调兵山,,晓明镇,"123.672192,42.412626",,辽宁日报,https://mp.weixin.qq.com/s/bv4h1_RXQXYBuDKxQbKCrA,1,,,辽宁省
铁岭,调兵山,,新区三区永乐汇,"123.540283,42.439236",,辽沈晚报,https://mp.weixin.qq.com/s/UD8VFba4oRx4LLJm3cX7zw,0,,,辽宁省
铁岭,昌图县,,八面城镇车站,"124.061332,43.209746",,辽宁日报,https://mp.weixin.qq.com/s/bv4h1_RXQXYBuDKxQbKCrA,1,,,辽宁省
铁岭,昌图县,,八面城镇木兰家电,"124.049753,43.19647",,辽宁日报,https://mp.weixin.qq.com/s/bv4h1_RXQXYBuDKxQbKCrA,1,,,辽宁省
铁岭,昌图县,,八面城镇果园村,"124.036414,43.139603",,辽宁日报,https://mp.weixin.qq.com/s/bv4h1_RXQXYBuDKxQbKCrA,1,,,辽宁省
铁岭,昌图县,,八面农贸市场,"124.051483,43.197799",,辽宁日报,https://mp.weixin.qq.com/s/bv4h1_RXQXYBuDKxQbKCrA,1,,,辽宁省
铁岭,昌图县,,朝阳镇,"124.078889,43.119514",,辽宁日报,https://mp.weixin.qq.com/s/bv4h1_RXQXYBuDKxQbKCrA,1,,,辽宁省
铁岭,昌图县,,八面城镇名仕小区,"124.0578,43.201311",,沈阳日报,https://weibo.com/1058106635/ItxVtlXdA,0,,,辽宁省
