city,district,street,place,location,remark,source,link,is_today,title,text,province
渭南,华州区,,赤水镇政府,"109.64893,34.5065",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
渭南,华州区,,赤水信用社,"109.653256,34.506821",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
渭南,华州区,,赤水镇农业银行,"109.648165,34.506094",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
渭南,华州区,,辛庄镇信用社,"109.681141,34.554366",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,1,,,陕西省
渭南,华州区,,赤水镇魏山庄4组,,,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,1,,,陕西省
渭南,临渭区,,南塘口立军裤带面馆,"109.511801,34.494506",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
渭南,临渭区,,中心广场年货市场,"109.492598,34.499324",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
渭南,临渭区,,胜利大街粮油市场,"109.51213,34.505205",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
渭南,临渭区,,轻工小区家属院,"109.495517,34.486029",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
渭南,临渭区,,大实惠超市,"109.531617,34.576953",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
渭南,临渭区,,万达广场对面公交公司,"109.454723,34.508019",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,1,,,陕西省
渭南,临渭区,,桃花源,"109.459875,34.42486",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,1,,,陕西省
渭南,临渭区,,青青家园三期11栋902室,"109.515009,34.479199",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
渭南,临渭区,,华润万家（朝阳大街店）,"109.472506,34.494572",,渭南发布,https://mp.weixin.qq.com/s/F2RiiyzIE87ilYzlAZ0OOw,0,,,陕西省
榆林,定边县,,红柳沟,"107.327258,37.449405",,银川晚报,https://mp.weixin.qq.com/s/d0ChVGAE859JSuSQ4-yuwg,1,,,陕西省
榆林,定边县,,定边新区二道街荞面饸烙面馆,"107.599763,37.594439",,银川晚报,https://mp.weixin.qq.com/s/d0ChVGAE859JSuSQ4-yuwg,1,,,陕西省
咸阳,秦都区,,沣西新城,"108.714174,34.292154",,咸阳发布,https://mp.weixin.qq.com/s/15bQoiHzj8ABrnySvnEtQA,0,,,陕西省
咸阳,秦都区,,世纪大道金泰丝路花城东边儿童摄影馆,"108.784532,34.313539",,咸阳发布,https://mp.weixin.qq.com/s/15bQoiHzj8ABrnySvnEtQA,0,,,陕西省
咸阳,秦都区,,东张村,"108.720087,34.288655",,咸阳发布,https://mp.weixin.qq.com/s/15bQoiHzj8ABrnySvnEtQA,0,,,陕西省
咸阳,秦都区,,沣河森林公园,"108.74874,34.321932",,咸阳发布,https://mp.weixin.qq.com/s/15bQoiHzj8ABrnySvnEtQA,0,,,陕西省
咸阳,秦都区,,妇幼保健院,"108.713533,34.313594",,咸阳发布,https://mp.weixin.qq.com/s/15bQoiHzj8ABrnySvnEtQA,0,,,陕西省
宝鸡,金台区,,群众路同心小区,"107.154593,34.379119",,宝鸡发布,https://mp.weixin.qq.com/s/AuuQN67_9XRnT3v-YQ-6Kg,0,,,陕西省
宝鸡,渭滨区,,宝钛新区门口百汇超市,"107.245375,34.341013",,宝鸡发布,https://mp.weixin.qq.com/s/AuuQN67_9XRnT3v-YQ-6Kg,0,,,陕西省
西安,灞桥区,,胡家庙早市,"108.999277,34.285816",,西安日报,https://mp.weixin.qq.com/s/g89sB9SZS0FSyD1B-bnwag,1,,,陕西省
西安,灞桥区,,胡家庙华润万家,"109.057004,34.273891",,西安日报,https://mp.weixin.qq.com/s/g89sB9SZS0FSyD1B-bnwag,1,,,陕西省
西安,碑林区,,东关南街社区医院,"108.974828,34.257837",,陕西发布,https://mp.weixin.qq.com/s/yB_kxKjAEYVn9MR8PyRCZg,0,,,陕西省
西安,碑林区,,东门人人乐超市,"108.918538,34.23588",,陕西发布,https://mp.weixin.qq.com/s/39apxV_xQLEu0MJ5ToE__g,0,,,陕西省
西安,莲湖区,,青年路葫芦头饭店,"108.943555,34.270944",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
西安,莲湖区,,丰盛园卫生服务站,"108.863057,34.276161",,陕西发布,https://mp.weixin.qq.com/s/o_6T8CRb-H8atdYNSkZTRg,0,,,陕西省
西安,莲湖区,,莲湖公园站,"108.940552,34.269722",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,1,,,陕西省
西安,新城区,,皇城东路大众理发店,"108.953603,34.270813",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
西安,新城区,,后寨门水盆羊肉店,"108.953935,34.271496",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
西安,新城区,,多彩商城,"108.976196,34.277409",,陕西发布,https://mp.weixin.qq.com/s/3-rTopQTdFCFDbBXIKbK0w,0,,,陕西省
西安,新城区,,后宰门水盆羊肉店,"108.953935,34.271496",,西安日报,https://mp.weixin.qq.com/s/EiKDu4VTdr4k8o2Uq5Fvcw,0,,,陕西省
西安,雁塔区,,KFC朱雀店（小寨银泰城店）,"108.940885,34.223241",,西安发布,https://m.weibo.cn/3757167087/4469821893163355,0,,,陕西省
西安,雁塔区,,西北水电家属院,"108.918342,34.197434",,西安发布,https://m.weibo.cn/3757167087/4469821893163355,0,,,陕西省
西安,雁塔区,,东仪路职工活动中心,"108.944773,34.206548",,西安发布,https://m.weibo.cn/3757167087/4469821893163355,0,,,陕西省
西安,雁塔区,,紫薇花园小区,"108.919055,34.215858",,西安发布,https://m.weibo.cn/3757167087/4469821893163355,0,,,陕西省
西安,雁塔区,,南窑头公交车站,"108.874146,34.219925",,新浪陕西,http://sn.ifeng.com/a/20200209/8181674_0.shtml,0,,,陕西省
西安,雁塔区,,延平门地铁站,"108.887444,34.2372",,新浪陕西,https://m.weibo.cn/2162541102/4469831778965414,0,,,陕西省
西安,雁塔区,,南窖头公交站,"108.874146,34.219925",,新浪陕西,https://m.weibo.cn/2162541102/4469831778965414,0,,,陕西省
