city,district,street,place,location,remark,source,link,is_today,title,text,province
齐齐哈尔,建华区,,运建园小区,"123.988164,47.353981",,辽沈晚报,https://mp.weixin.qq.com/s/-e5s6ClTnQoMsTiBQkVWdQ,0,,,黑龙江省
齐齐哈尔,建华区,,建设街道运建小区7号楼3单元,"123.994404,47.359805",,齐齐哈尔新闻网,https://m.weibo.cn/2375104471/4468572786783849,1,,,黑龙江省
齐齐哈尔,建华区,,运建园市场,"123.990279,47.35808",,齐齐哈尔新闻网,https://m.weibo.cn/2375104471/4468572786783849,1,,,黑龙江省
齐齐哈尔,建华区,,农牧小区,"123.95546,47.35434",,齐齐哈尔新闻网,https://m.weibo.cn/2375104471/4468572786783849,1,,,黑龙江省
齐齐哈尔,建华区,,文化街道香江家园小区,"123.932007,47.380878",,齐齐哈尔新闻网,https://m.weibo.cn/2375104471/4468572786783849,1,,,黑龙江省
齐齐哈尔,讷河市,,韩都烧烤,"124.887266,48.479237",,内蒙古日报,https://mp.weixin.qq.com/s/WBkYAkadMMy8qkjvZeTbyQ,0,,,黑龙江省
齐齐哈尔,讷河市,,贵仁名苑5栋3单元,"124.893144,48.481809",,黑龙江发布,https://m.weibo.cn/3950759014/4470714969436000,0,,,黑龙江省
齐齐哈尔,拜泉县,,富强镇文明村,"125.661614,47.442976",,黑龙江发布,https://m.weibo.cn/3950759014/4471102309098064,1,,,黑龙江省
齐齐哈尔,拜泉县,,拜泉镇鑫海家园2号楼4单元,"126.094259,47.613073",,黑龙江发布,https://m.weibo.cn/3950759014/4471102309098064,1,,,黑龙江省
齐齐哈尔,龙江县,,七道街明亮花苑4号楼,"123.184921,47.339272",,齐齐哈尔新闻网,https://m.weibo.cn/2375104471/4468572786783849,1,,,黑龙江省
齐齐哈尔,龙江县,,龙江县龙江镇花园小区煤建家属楼5号楼,"123.194215,47.335881",,黑龙江发布,https://m.weibo.cn/3950759014/4470360261214454,0,,,黑龙江省
齐齐哈尔,龙江县,,龙江镇花园小区煤建家属楼5号楼,"123.194215,47.335881",,黑龙江发布,https://m.weibo.cn/3950759014/4470360261214454,0,,,黑龙江省
齐齐哈尔,依安县,,依龙镇自新村公寓楼1号楼,"125.284778,47.466327",,黑龙江发布,https://m.weibo.cn/3950759014/4470360261214454,0,,,黑龙江省
齐齐哈尔,梅里斯区,,莽格吐乡莽格吐村,"124.13821,47.780441",,黑龙江日报,https://mp.weixin.qq.com/s/oMM7kY6sk29kXYE_NyqfWQ,0,,,黑龙江省
齐齐哈尔,甘南县,,土地局家属楼,"123.424637,46.390001",,黑龙江日报,https://mp.weixin.qq.com/s/oMM7kY6sk29kXYE_NyqfWQ,0,,,黑龙江省
